block_code,block_name,district_code
803,Achhnera,118
804,Akola,118
805,Bah,118
806,Barauli Ahir,118
807,Bichpuri,118
808,Etmadpur,118
809,Fatehabad,118
810,Fatehpur Sikri,118
811,Jagner,118
812,Jaitpur Kalan,118
813,Khandauli,118
814,Kheragarh,118
815,Pinahat,118
816,Saiyan,118
817,Shamsabad,118
818,Akrabad,119
819,Atrauli,119
820,Bijauli,119
821,Chandaus,119
822,Dhanipur,119
823,Gangiri,119
824,Gonda,119
825,Iglas,119
826,Jawan Sikanderpur,119
827,Khair,119
828,Lodha,119
829,Tappal,119
830,Bahadurpur,120
831,Bahria,120
7359,Bhagwatpur,120
832,Chaka,120
833,Dhanupur,120
834,Handia,120
835,Holagarh,120
836,Jasra,120
837,Karchhana,120
838,Kaudhiyara,120
839,Kaurihar,120
840,Koraon,120
841,Manda,120
842,Mauaima,120
843,Meja,120
844,Phulpur,120
845,Pratappur,120
7360,Sahson,120
846,Saidabad,120
847,Shankargarh,120
848,Soraon,120
7361,Sringverpur Dham,120
849,Uruwan,120
850,Akbarpur,121
851,Baskhari,121
852,Bhiti,121
853,Bhiyawan,121
854,Jahangir Ganj,121
855,Jalal Pur,121
856,Katehari,121
857,Ram Nagar,121
858,Tanda,121
859,Achchalda,122
860,Ajitmal,122
861,Auraiya,122
862,Bhagyanagar,122
863,Bidhuna,122
864,Erwa Katra,122
865,Sahar,122
866,Ahiraula,123
867,Atraulia,123
868,Azmatgarh,123
869,Bilariyaganj,123
870,Haraiya,123
871,Jahanaganj,123
872,Koilsa,123
873,Lalganj,123
874,Mahrajganj,123
875,Martinganj,123
876,Mehnagar,123
877,Mirzapur,123
878,Mohammadpur,123
879,Palhana,123
880,Palhani,123
881,Pawai,123
882,Phulpur,123
883,Rani Ki Sarai,123
884,Sathiyaon,123
885,Tahbarpur,123
886,Tarwa,123
887,Thekma,123
888,Baghpat,124
889,Baraut,124
890,Binauli,124
891,Chhaprauli,124
892,Khekra,124
893,Pilana,124
894,Balaha,125
895,Chitaura,125
896,Huzoorpur,125
897,Jarwal,125
898,Kaisarganj,125
899,Mahasi,125
900,Mihinpurwa,125
901,Nawabganj,125
903,Payagpur,125
902,Phakharpur,125
904,Risia,125
905,Shivpur,125
906,Tejwapur,125
907,Visheshwarganj,125
908,Bairia,126
