body_code,ward_number,locality_name,occurrences,source,status
277278,3,"DM. Colony",39,"Varanasi Cantt voter roll","candidate"
277278,3,"DM Colony",7,"Varanasi Cantt voter roll","candidate"
277278,3,"MH. Colony",6,"Varanasi Cantt voter roll","candidate"
277278,3,"D.M. Colony",3,"Varanasi Cantt voter roll","candidate"
277278,3,"MAH. Colony",2,"Varanasi Cantt voter roll","candidate"
277278,3,"MAL Colony",2,"Varanasi Cantt voter roll","candidate"
277278,3,"MH Colony",2,"Varanasi Cantt voter roll","candidate"
277278,3,"MHL Colony",2,"Varanasi Cantt voter roll","candidate"
277278,3,"Officer Colony",2,"Varanasi Cantt voter roll","candidate"
277278,3,"Officers Colony",2,"Varanasi Cantt voter roll","candidate"
277278,4,"Station Road",7,"Varanasi Cantt voter roll","candidate"
277278,4,"MES Colony",2,"Varanasi Cantt voter roll","candidate"
