gram_panchayat_code,gram_panchayat_name,district_code,parent_kp_code
54806,Aabidnagar Urf Dhondhli,132,1571
266228,Aachru Khurd,134,1611
79004,Aad,169,1973
52784,Aadalpur,130,1542
51981,Aadampur Bhatpura,129,1531
44282,Aadampur Uparaura,120,1414
79685,Aahi,170,1987
55580,Aajamghad Urf Ratangarh,132,1580
266456,Aajnothi,167,1953
68837,Aal,151,1800
51916,Aalapur,129,1530
63870,Aalapur,146,1720
55199,Aalealipur,132,1576
52227,Aalhan Mau,129,1534
52566,Aalhemau,129,1539
55588,Aaliyapur,132,1580
266596,Aalu Pur,141,1680
59319,Aam Ghat,137,1641
88982,Aamba,183,2133
89153,Aambaghat,183,2135
89880,Aambi,183,2146
81810,Aamdar,173,2022
45814,Aami,121,1435
61432,Aamilpur,141,1678
52786,Aamkhera,130,1542
85233,Aamki Dipchandpur Must,177,2076
268200,Aamrahwa,127,1515
61091,Aanapur Saraiya,140,1673
91843,Aanapurnarayanganj,185,2178
84658,Aanga,176,2069
89675,Aant,183,2143
62780,Aapur,143,1699
69539,Aara,152,1811
91162,Aardih,185,2167
297299,Aari Khera,171,1998
267322,Aarnhwa,127,1511
52703,Aaspur,130,1541
65649,Aata,147,1747
68707,Aata,151,1798
51442,Aau,128,1523
61433,Aawaj Pur,141,1678
266636,Ababakpur,177,2081
297178,Ababakpur,171,2002
270681,Abahadpur,152,1809
61020,Abanpur Saroha,140,1671
63122,Abbaspur,143,1705
70280,Abbopur,152,1821
269984,Abbupur,168,1965
269362,Abdalpur Albela,180,2102
45094,Abdalpur Khas,120,1425
82654,Abdul Wahidganj,174,2033
59662,Abdulhaipur,138,1647
68147,Abdulla Nagar,150,1789
51980,Abdulla Pur,129,1531
68320,Abdullapur,150,1792
297284,Abdullapur,171,2001
68838,Abdullapur Kanar,151,1800
53078,Abdullapur Mafi,130,1546
265479,Abdullapur Mevla,124,1476
85538,Abdullapur-Mazra Behat,177,2081
50077,Abdulpur Madari,126,1501
