local_body_type_code,local_body_type,local_body_code,local_body_name
8,Cantonment Board,277255,Agra
8,Cantonment Board,277256,Allahabad
8,Cantonment Board,277288,Babina
8,Cantonment Board,277258,Bareilly
8,Cantonment Board,277263,Faizabad
8,Cantonment Board,277266,Fategarh
8,Cantonment Board,277293,Jhansi
8,Cantonment Board,277264,Kanpur
8,Cantonment Board,277269,Lucknow
8,Cantonment Board,277270,Mathura
8,Cantonment Board,277271,Meerut
8,Cantonment Board,277277,Shahjahanpur
8,Cantonment Board,277278,Varanasi
4,Municipal Corporation,249062,Agra
4,Municipal Corporation,249025,Aligarh
4,Municipal Corporation,249391,Ayodhya
4,Municipal Corporation,249149,Bareilly
4,Municipal Corporation,249079,Firozabad
4,Municipal Corporation,248988,Ghaziabad
4,Municipal Corporation,249444,Gorakhpur
4,Municipal Corporation,249314,Jhansi
4,Municipal Corporation,249286,Kanpur
4,Municipal Corporation,249234,Lucknow
4,Municipal Corporation,249052,Mathura-Vrindavan
4,Municipal Corporation,248964,Meerut
4,Municipal Corporation,248929,Moradabad
4,Municipal Corporation,249369,Prayagraj
4,Municipal Corporation,248873,Saharanpur
4,Municipal Corporation,297802,Shahjahanpur
4,Municipal Corporation,249531,Varanasi
5,Municipality,249066,Achhnera
5,Municipality,248917,Afzalgarh
5,Municipality,249545,Ahraura
5,Municipality,249400,Akbarpur
5,Municipality,249095,Aliganj
5,Municipality,248950,Amroha
5,Municipality,249011,Anupshahr
5,Municipality,249145,Aonla
5,Municipality,249339,Atarra
5,Municipality,249022,Atrauli
5,Municipality,249273,Auraiya
5,Municipality,249477,Azamgarh
5,Municipality,249428,Baansi
5,Municipality,248947,Bachhraon
5,Municipality,248973,Baghpat
5,Municipality,249074,Bah
5,Municipality,249135,Bahedi
5,Municipality,248935,Bahjoi
5,Municipality,249410,Bahraich
5,Municipality,249497,Ballia
5,Municipality,249414,Balrampur
5,Municipality,249334,Banda
5,Municipality,249212,Bangarmau
5,Municipality,248972,Baraut
5,Municipality,249311,Barua Sagar
5,Municipality,249430,Basti
5,Municipality,249353,Belha
5,Municipality,249535,Bhadohi
5,Municipality,249264,Bharthana
5,Municipality,249361,Bharwari(Kaushambi)
5,Municipality,297025,Bhinga
5,Municipality,248910,Bijnor
5,Municipality,248931,Bilari
5,Municipality,249470,Bilariaganj
5,Municipality,248941,Bilaspur
5,Municipality,249203,Bilgram
5,Municipality,249282,Bilhaur
5,Municipality,249122,Bilsi
5,Municipality,249345,Bindki
5,Municipality,249162,Bisalpur
5,Municipality,249118,Bisauli
