local_body_code,district_code,district_name,source
248145,182,Siddharthnagar,PMAY-Urban List of ULB
248870,177,Saharanpur,PMAY-Urban List of ULB
248873,177,Saharanpur,PMAY-Urban List of ULB
248874,177,Saharanpur,PMAY-Urban List of ULB
248875,177,Saharanpur,PMAY-Urban List of ULB
248876,177,Saharanpur,PMAY-Urban List of ULB
248877,177,Saharanpur,PMAY-Urban List of ULB
248878,177,Saharanpur,PMAY-Urban List of ULB
248879,177,Saharanpur,PMAY-Urban List of ULB
248880,177,Saharanpur,PMAY-Urban List of ULB
248881,177,Saharanpur,PMAY-Urban List of ULB
248882,177,Saharanpur,PMAY-Urban List of ULB
248883,660,Shamli,PMAY-Urban List of ULB
248884,660,Shamli,PMAY-Urban List of ULB
248885,660,Shamli,PMAY-Urban List of ULB
248886,660,Shamli,PMAY-Urban List of ULB
248887,660,Shamli,PMAY-Urban List of ULB
248888,660,Shamli,PMAY-Urban List of ULB
248889,660,Shamli,PMAY-Urban List of ULB
248890,660,Shamli,PMAY-Urban List of ULB
248891,660,Shamli,PMAY-Urban List of ULB
248892,660,Shamli,PMAY-Urban List of ULB
248893,172,Muzaffarnagar,PMAY-Urban List of ULB
248894,172,Muzaffarnagar,PMAY-Urban List of ULB
248895,172,Muzaffarnagar,PMAY-Urban List of ULB
248896,172,Muzaffarnagar,PMAY-Urban List of ULB
248897,172,Muzaffarnagar,PMAY-Urban List of ULB
248898,172,Muzaffarnagar,PMAY-Urban List of ULB
248899,172,Muzaffarnagar,PMAY-Urban List of ULB
248901,172,Muzaffarnagar,PMAY-Urban List of ULB
248902,172,Muzaffarnagar,PMAY-Urban List of ULB
248903,172,Muzaffarnagar,PMAY-Urban List of ULB
248904,132,Bijnor,PMAY-Urban List of ULB
248905,132,Bijnor,PMAY-Urban List of ULB
248907,132,Bijnor,PMAY-Urban List of ULB
248908,132,Bijnor,PMAY-Urban List of ULB
248909,132,Bijnor,PMAY-Urban List of ULB
248910,132,Bijnor,PMAY-Urban List of ULB
248913,132,Bijnor,PMAY-Urban List of ULB
248914,132,Bijnor,PMAY-Urban List of ULB
248915,132,Bijnor,PMAY-Urban List of ULB
248916,132,Bijnor,PMAY-Urban List of ULB
248917,132,Bijnor,PMAY-Urban List of ULB
248918,132,Bijnor,PMAY-Urban List of ULB
248919,132,Bijnor,PMAY-Urban List of ULB
248920,132,Bijnor,PMAY-Urban List of ULB
248921,132,Bijnor,PMAY-Urban List of ULB
248922,132,Bijnor,PMAY-Urban List of ULB
248923,132,Bijnor,PMAY-Urban List of ULB
248924,132,Bijnor,PMAY-Urban List of ULB
248925,171,Moradabad,PMAY-Urban List of ULB
248926,171,Moradabad,PMAY-Urban List of ULB
248927,171,Moradabad,PMAY-Urban List of ULB
248928,171,Moradabad,PMAY-Urban List of ULB
248929,171,Moradabad,PMAY-Urban List of ULB
248930,171,Moradabad,PMAY-Urban List of ULB
248931,171,Moradabad,PMAY-Urban List of ULB
248933,659,Sambhal,PMAY-Urban List of ULB
248934,659,Sambhal,PMAY-Urban List of ULB
248935,659,Sambhal,PMAY-Urban List of ULB
248936,659,Sambhal,PMAY-Urban List of ULB
248937,659,Sambhal,PMAY-Urban List of ULB
248938,176,Rampur,PMAY-Urban List of ULB
248939,176,Rampur,PMAY-Urban List of ULB
248940,176,Rampur,PMAY-Urban List of ULB
248941,176,Rampur,PMAY-Urban List of ULB
248942,176,Rampur,PMAY-Urban List of ULB
248943,176,Rampur,PMAY-Urban List of ULB
248944,176,Rampur,PMAY-Urban List of ULB
248945,176,Rampur,PMAY-Urban List of ULB
248946,154,Amroha,PMAY-Urban List of ULB
248947,154,Amroha,PMAY-Urban List of ULB
248949,154,Amroha,PMAY-Urban List of ULB
248950,154,Amroha,PMAY-Urban List of ULB
248951,154,Amroha,PMAY-Urban List of ULB
248952,154,Amroha,PMAY-Urban List of ULB
248953,154,Amroha,PMAY-Urban List of ULB
248954,169,Meerut,PMAY-Urban List of ULB
248955,169,Meerut,PMAY-Urban List of ULB
248956,169,Meerut,PMAY-Urban List of ULB
248957,169,Meerut,PMAY-Urban List of ULB
248958,169,Meerut,PMAY-Urban List of ULB
248959,169,Meerut,PMAY-Urban List of ULB
248960,169,Meerut,PMAY-Urban List of ULB
248961,169,Meerut,PMAY-Urban List of ULB
248962,169,Meerut,PMAY-Urban List of ULB
248963,169,Meerut,PMAY-Urban List of ULB
248964,169,Meerut,PMAY-Urban List of ULB
248967,169,Meerut,PMAY-Urban List of ULB
248968,169,Meerut,PMAY-Urban List of ULB
248969,124,Baghpat,PMAY-Urban List of ULB
248970,124,Baghpat,PMAY-Urban List of ULB
248971,124,Baghpat,PMAY-Urban List of ULB
248972,124,Baghpat,PMAY-Urban List of ULB
248973,124,Baghpat,PMAY-Urban List of ULB
248974,124,Baghpat,PMAY-Urban List of ULB
248975,124,Baghpat,PMAY-Urban List of ULB
248977,145,Ghaziabad,PMAY-Urban List of ULB
248978,145,Ghaziabad,PMAY-Urban List of ULB
248981,145,Ghaziabad,PMAY-Urban List of ULB
248982,145,Ghaziabad,PMAY-Urban List of ULB
248983,145,Ghaziabad,PMAY-Urban List of ULB
248985,145,Ghaziabad,PMAY-Urban List of ULB
248988,145,Ghaziabad,PMAY-Urban List of ULB
248989,145,Ghaziabad,PMAY-Urban List of ULB
248990,661,Hapur,PMAY-Urban List of ULB
248991,661,Hapur,PMAY-Urban List of ULB
248992,661,Hapur,PMAY-Urban List of ULB
248993,661,Hapur,PMAY-Urban List of ULB
248996,144,Gautam Buddha Nagar,PMAY-Urban List of ULB
248997,144,Gautam Buddha Nagar,PMAY-Urban List of ULB
248998,144,Gautam Buddha Nagar,PMAY-Urban List of ULB
248999,134,Bulandshahr,PMAY-Urban List of ULB
249000,144,Gautam Buddha Nagar,PMAY-Urban List of ULB
249001,144,Gautam Buddha Nagar,PMAY-Urban List of ULB
249002,144,Gautam Buddha Nagar,PMAY-Urban List of ULB
249003,134,Bulandshahr,PMAY-Urban List of ULB
249004,134,Bulandshahr,PMAY-Urban List of ULB
249005,134,Bulandshahr,PMAY-Urban List of ULB
249006,134,Bulandshahr,PMAY-Urban List of ULB
249007,134,Bulandshahr,PMAY-Urban List of ULB
249008,134,Bulandshahr,PMAY-Urban List of ULB
249009,134,Bulandshahr,PMAY-Urban List of ULB
249010,134,Bulandshahr,PMAY-Urban List of ULB
249011,134,Bulandshahr,PMAY-Urban List of ULB
249012,134,Bulandshahr,PMAY-Urban List of ULB
249013,134,Bulandshahr,PMAY-Urban List of ULB
249014,134,Bulandshahr,PMAY-Urban List of ULB
249015,134,Bulandshahr,PMAY-Urban List of ULB
249016,134,Bulandshahr,PMAY-Urban List of ULB
249017,134,Bulandshahr,PMAY-Urban List of ULB
249018,134,Bulandshahr,PMAY-Urban List of ULB
249019,119,Aligarh,PMAY-Urban List of ULB
249020,119,Aligarh,PMAY-Urban List of ULB
249022,119,Aligarh,PMAY-Urban List of ULB
249023,119,Aligarh,PMAY-Urban List of ULB
249024,119,Aligarh,PMAY-Urban List of ULB
249025,119,Aligarh,PMAY-Urban List of ULB
249026,119,Aligarh,PMAY-Urban List of ULB
249027,119,Aligarh,PMAY-Urban List of ULB
249028,119,Aligarh,PMAY-Urban List of ULB
249029,119,Aligarh,PMAY-Urban List of ULB
249030,119,Aligarh,PMAY-Urban List of ULB
249031,119,Aligarh,PMAY-Urban List of ULB
249032,163,Hathras,PMAY-Urban List of ULB
249033,163,Hathras,PMAY-Urban List of ULB
249034,163,Hathras,PMAY-Urban List of ULB
249035,163,Hathras,PMAY-Urban List of ULB
249036,163,Hathras,PMAY-Urban List of ULB
249037,163,Hathras,PMAY-Urban List of ULB
249038,163,Hathras,PMAY-Urban List of ULB
249039,163,Hathras,PMAY-Urban List of ULB
249040,163,Hathras,PMAY-Urban List of ULB
249041,167,Mathura,PMAY-Urban List of ULB
249042,167,Mathura,PMAY-Urban List of ULB
249043,167,Mathura,PMAY-Urban List of ULB
249044,167,Mathura,PMAY-Urban List of ULB
249045,167,Mathura,PMAY-Urban List of ULB
249046,167,Mathura,PMAY-Urban List of ULB
249047,167,Mathura,PMAY-Urban List of ULB
249049,167,Mathura,PMAY-Urban List of ULB
249050,167,Mathura,PMAY-Urban List of ULB
249051,167,Mathura,PMAY-Urban List of ULB
249052,167,Mathura,PMAY-Urban List of ULB
249055,167,Mathura,PMAY-Urban List of ULB
249056,167,Mathura,PMAY-Urban List of ULB
249057,167,Mathura,PMAY-Urban List of ULB
249058,167,Mathura,PMAY-Urban List of ULB
249059,118,Agra,PMAY-Urban List of ULB
249060,118,Agra,PMAY-Urban List of ULB
249061,118,Agra,PMAY-Urban List of ULB
249062,118,Agra,PMAY-Urban List of ULB
249066,118,Agra,PMAY-Urban List of ULB
249067,118,Agra,PMAY-Urban List of ULB
249068,118,Agra,PMAY-Urban List of ULB
249069,118,Agra,PMAY-Urban List of ULB
249070,118,Agra,PMAY-Urban List of ULB
249071,118,Agra,PMAY-Urban List of ULB
