local_body_type_code,local_body_type,local_body_code,local_body_name,district_code,parent_local_body_code
3,Gram Panchayat,54806,Aabidnagar Urf Dhondhli,132,1571
3,Gram Panchayat,266228,Aachru Khurd,134,1611
3,Gram Panchayat,79004,Aad,169,1973
3,Gram Panchayat,52784,Aadalpur,130,1542
3,Gram Panchayat,51981,Aadampur Bhatpura,129,1531
3,Gram Panchayat,44282,Aadampur Uparaura,120,1414
3,Gram Panchayat,79685,Aahi,170,1987
3,Gram Panchayat,55580,Aajamghad Urf Ratangarh,132,1580
3,Gram Panchayat,266456,Aajnothi,167,1953
3,Gram Panchayat,68837,Aal,151,1800
3,Gram Panchayat,51916,Aalapur,129,1530
3,Gram Panchayat,63870,Aalapur,146,1720
3,Gram Panchayat,55199,Aalealipur,132,1576
3,Gram Panchayat,52227,Aalhan Mau,129,1534
3,Gram Panchayat,52566,Aalhemau,129,1539
3,Gram Panchayat,55588,Aaliyapur,132,1580
3,Gram Panchayat,266596,Aalu Pur,141,1680
3,Gram Panchayat,59319,Aam Ghat,137,1641
3,Gram Panchayat,88982,Aamba,183,2133
3,Gram Panchayat,89153,Aambaghat,183,2135
3,Gram Panchayat,89880,Aambi,183,2146
3,Gram Panchayat,81810,Aamdar,173,2022
3,Gram Panchayat,45814,Aami,121,1435
3,Gram Panchayat,61432,Aamilpur,141,1678
3,Gram Panchayat,52786,Aamkhera,130,1542
3,Gram Panchayat,85233,Aamki Dipchandpur Must,177,2076
3,Gram Panchayat,268200,Aamrahwa,127,1515
3,Gram Panchayat,61091,Aanapur Saraiya,140,1673
3,Gram Panchayat,91843,Aanapurnarayanganj,185,2178
3,Gram Panchayat,84658,Aanga,176,2069
3,Gram Panchayat,89675,Aant,183,2143
3,Gram Panchayat,62780,Aapur,143,1699
3,Gram Panchayat,69539,Aara,152,1811
3,Gram Panchayat,91162,Aardih,185,2167
3,Gram Panchayat,297299,Aari Khera,171,1998
3,Gram Panchayat,267322,Aarnhwa,127,1511
3,Gram Panchayat,52703,Aaspur,130,1541
3,Gram Panchayat,65649,Aata,147,1747
3,Gram Panchayat,68707,Aata,151,1798
3,Gram Panchayat,51442,Aau,128,1523
3,Gram Panchayat,61433,Aawaj Pur,141,1678
3,Gram Panchayat,266636,Ababakpur,177,2081
3,Gram Panchayat,297178,Ababakpur,171,2002
3,Gram Panchayat,270681,Abahadpur,152,1809
3,Gram Panchayat,61020,Abanpur Saroha,140,1671
3,Gram Panchayat,63122,Abbaspur,143,1705
3,Gram Panchayat,70280,Abbopur,152,1821
3,Gram Panchayat,269984,Abbupur,168,1965
3,Gram Panchayat,269362,Abdalpur Albela,180,2102
3,Gram Panchayat,45094,Abdalpur Khas,120,1425
3,Gram Panchayat,82654,Abdul Wahidganj,174,2033
3,Gram Panchayat,59662,Abdulhaipur,138,1647
3,Gram Panchayat,68147,Abdulla Nagar,150,1789
3,Gram Panchayat,51980,Abdulla Pur,129,1531
3,Gram Panchayat,68320,Abdullapur,150,1792
3,Gram Panchayat,297284,Abdullapur,171,2001
3,Gram Panchayat,68838,Abdullapur Kanar,151,1800
3,Gram Panchayat,53078,Abdullapur Mafi,130,1546
3,Gram Panchayat,265479,Abdullapur Mevla,124,1476
3,Gram Panchayat,85538,Abdullapur-Mazra Behat,177,2081
3,Gram Panchayat,50077,Abdulpur Madari,126,1501
3,Gram Panchayat,54961,Abdulpur Munna Urf Hadarpur,132,1573
3,Gram Panchayat,85366,Abha,177,2078
3,Gram Panchayat,272594,Abhaeepur,126,1497
3,Gram Panchayat,265140,Abhai Pur,133,1595
3,Gram Panchayat,52873,Abhai Rajpur,130,1543
3,Gram Panchayat,81967,Abhaipur Chaina Nakti,173,2024
3,Gram Panchayat,76056,Abhaipura,163,1922
3,Gram Panchayat,267763,Abhannpatti,123,1453
3,Gram Panchayat,42727,Abhaudopura,118,1386
3,Gram Panchayat,266551,Abhay Pur,141,1680
3,Gram Panchayat,69537,Abhaychand Patti,152,1811
3,Gram Panchayat,65650,Abhayipur,147,1747
3,Gram Panchayat,43688,Abhaypur Bahlolpur,119,1406
3,Gram Panchayat,53141,Abhaypur Mahmoodpur,130,1547
3,Gram Panchayat,42776,Abhaypura,118,1387
