tehsil_code,tehsil_name,district_code
766,Agra,118
770,Bah,118
765,Etmadpur,118
769,Fatehabad,118
768,Kheragarh,118
767,Kiraoli,118
754,Atrauli,119
753,Gabhana,119
756,Iglas,119
752,Khair,119
755,Koil,119
890,Allahabad,120
891,Bara,120
893,Handia,120
892,Karchhana,120
895,Koraon,120
894,Meja,120
889,Phulpur,120
888,Soraon,120
910,Akbarpur,121
908,Allapur,121
911,Bhiti,121
909,Jalalpur,121
907,Tanda,121
6877,Ajitmal,122
842,Auraiya,122
841,Bidhuna,122
966,Azamgarh,123
964,Burhanpur,123
969,Lalganj,123
6165,Martinganjon,123
970,Mehnagar,123
967,Nizamabad,123
968,Phulpur,123
965,Sagri,123
736,Baghpat,124
735,Baraut,124
737,Khekada,124
921,Bahraich,125
922,Kaiserganj,125
920,Mahasi,125
6862,Mihinpurwa Motipur,125
919,Nanpara,125
6861,Payagpur,125
980,Bairia,126
978,Ballia,126
979,Bansdih,126
975,Belthara Road,126
977,Rasra,126
976,Sikanderpur,126
925,Balrampur,127
926,Tulsipur,127
927,Utraula,127
873,Atarra,128
872,Baberu,128
871,Banda,128
874,Naraini,128
6157,Pailani,128
896,Fatehpur,129
901,Haidergarh,129
898,Nawabganj,129
897,Ramnagar,129
900,Ramsanehighat,129
899,Sirauli Gauspur,129
786,Aonla,130
784,Baheri,130
787,Bareilly,130
789,Faridpur,130
785,Meerganj,130
788,Nawabganj,130
939,Basti,131
937,Bhanpur,131
938,Harraiya,131
940,Rudhauli,131
713,Bijnor,132
716,Chandpur,132
715,Dhampur,132
714,Nagina,132
712,Najibabad,132
780,Bilsi,133
779,Bisauli,133
782,Budaun,133
783,Dataganj,133
781,Sahaswan,133
748,Anupshahr,134
746,Bulandshahr,134
749,Debai,134
751,Khurja,134
750,Shikarpur,134
747,Siana,134
745,Sikandrabad,134
994,Chakia,135
993,Chandauli,135
6870,Naugarh,135
6869,Pandit Deendayal Upadhyay Nagar,135
992,Sakaldiha,135
875,Karwi,136
5930,Manikpur,136
876,Mau,136
6156,Rajapur,136
961,Barhaj,137
963,Bhatpar Rani,137
959,Deoria,137
960,Rudrapur,137
962,Salempur,137
1007,Aliganj,138
1008,Etah,138
1009,Jalesar,138
839,Bharthana,139
840,Chakarnagar,139
838,Etawah,139
836,Jaswantnagar,139
837,Saifai,139
6158,Takha,139
906,Bikapur,140
905,Faizabad,140
903,Milkipur,140
902,Rudauli,140
904,Sohawal,140
831,Amritpur,141
832,Farrukhabad,141
830,Kaimganj,141
877,Bindki,142
878,Fatehpur,142
879,Khaga,142
772,Firozabad,143
773,Jasrana,143
774,Shikohabad,143
6161,Sirsaganj,143
771,Tundla,143
742,Dadri,144
743,Gautam Buddha Nagar,144
744,Jewar,144
739,Ghaziabad,145
6089,Loni,145
738,Modinagar,145
989,Ghazipur,146
987,Jakhania,146
6834,Kasimabad,146
990,Mohammadabad,146
988,Saidpur,146
6835,Sewarai,146
991,Zamania,146
929,Colonelganj,147
928,Gonda,147
931,Mankapur,147
930,Tarabganj,147
952,Bansgaon,148
948,Campierganj,148
951,Chauri Chaura,148
954,Gola,148
950,Gorakhpur,148
953,Khajni,148
949,Sahjanwa,148
864,Hamirpur,149
867,Maudaha,149
865,Rath,149
866,Sarila,149
812,Bilgram,150
811,Hardoi,150
813,Sandila,150
810,Sawayajpur,150
809,Shahabad,150
852,Jalaun,151
853,Kalpi,151
855,Konch,151
851,Madhogarh,151
854,Orai,151
982,Badlapur,152
984,Jaunpur,152
986,Kerakat,152
983,Machhlishahr,152
985,Mariahu,152
981,Shahganj,152
857,Garautha,153
860,Jhansi,153
859,Mauranipur,153
856,Moth,153
858,Tahrauli,153
730,Amroha,154
729,Dhanaura,154
731,Hasanpur,154
6831,Naugawan Sadat,154
833,Chhibramau,155
834,Kannauj,155
835,Tirwa,155
845,Akbarpur,156
846,Bhognipur,156
844,Derapur,156
6871,Maitha,156
843,Rasulabad,156
847,Sikandra,156
848,Bilhaur,157
850,Ghatampur,157
849,Kanpur,157
6163,Narwal,157
887,Chail,158
886,Manjhanpur,158
885,Sirathu,158
802,Dhaurahara,159
799,Gola Gokaran Nath,159
801,Lakhimpur,159
6875,Mitauli,159
800,Mohammdi,159
797,Nighasan,159
798,Palia,159
956,Hata,160
6879,Kaptanganj,160
957,Kasya,160
6878,Khadda,160
955,Padrauna,160
