district_code,tehsil_code,village_code,village_name,gram_panchayat_code,gram_panchayat_name
118,767,124838,Abhaidopura,42727,Abhaudopura
118,766,124607,Abhaypura,42776,Abhaypura
118,770,125314,Abhaypura,42808,Abhaypura
118,765,124495,Agarpur,43185,Uncha
118,765,124552,Agwarkhas,42930,Agwar Khas
118,765,124524,Aharan,42931,Aharan
118,769,125165,Aie,42969,Aie
118,767,124803,Akabara,42728,Akabara
118,766,124649,Akbarpur,42852,Akbarpur
118,767,124865,Akhbai,42777,Akhbai
118,766,124618,Akola,42778,Akola
118,769,125149,Alampur,43020,Salempur Ghankar
118,770,125377,Amahi,43109,Amahi
118,765,124514,Amanabad,42932,Amanabad
118,767,124791,Anganpura,265508,Anganpur
118,766,124591,Anguthi,42905,Angoothi
118,765,124490,Anwal Khera,43150,Anwal Khera
118,767,124833,Ardaya,42729,Ardaya
118,765,124548,Arela,42933,Arela
118,767,124772,Arhera,43030,Arhera
118,770,125232,Arjun Pura,43221,Arjun Pura
118,770,125204,Arnota,43222,Arnota
118,769,125123,Arrji Paliya,241775,Arrji Paliya
118,767,124829,Arrua Khas,42730,Arrua Khas
118,767,124801,Arsena,42731,Arsena
118,766,124689,Artauni (Ct),42906,Artauni
118,768,124927,Ata,43187,Ata
118,767,124813,Atus,42732,Atus
118,767,124731,Aulenda,43031,Aulenda
118,768,124940,Aurangpur,43188,Aurangpur
118,768,124962,Ayela,43189,Ayela
118,766,124697,Azizpur (Ct),274049,Azizpur
118,769,125174,Babarpur,42984,Gubrauth
118,768,125011,Babarpur,43261,Goharra
118,767,124789,Babrod,42733,Babrod
118,766,124626,Bad,42853,Bad
118,770,125325,Badagaon,43110,Badagaon
118,767,124745,Badanpur Barnamai,43032,Badanpur Barnabai
118,770,125299,Badous,42809,Badous
118,766,124634,Bagda,42854,Bagda
118,768,124872,Baghour,43082,Baghour
118,770,125242,Baghrena,43223,Baghrena
118,770,125272,Bah Dehat,42821,Emanpura
118,767,124861,Baha,241771,Bagha Soniga
118,767,124761,Baharabati Khas,43075,Singarpur
118,766,124645,Bahenta,42855,Bahenta
118,765,124551,Bahrampur,42934,Bahrampur
118,765,124478,Bailoth,43151,Bailoth
118,767,124854,Baiman,42781,Baman
118,766,124612,Bain Khera,42779,Bain Khera
118,766,124575,Bainpur Mustkil,241770,Baipur Mustkil
118,766,124578,Baipur Ehtmali,241770,Baipur Mustkil
118,766,124644,Bajhera,268061,Bajhera
118,767,124771,Bajidpura,43068,Rojauli
118,769,125052,Bakalpur,43292,Bakalpur
118,768,124941,Bakalpur,43190,Bakalpur
118,767,124768,Bakanda Khas,42752,Khera Bakanda
118,770,125217,Balai,43224,Balai
118,766,124606,Balhera,42780,Balhera
118,765,124480,Baman,43152,Baman
118,767,124857,Bamanpura,42787,Chainkora
118,768,124898,Bamnai Kalan,43083,Bamnai Kalan
118,768,124897,Bamnai Khurd,43083,Bamnai Kalan
118,769,125118,Bamrauli,42970,Bamrauli
118,766,124604,Bamrauli Ahir,42907,Bamrauli Ahir
118,766,124661,Bamrauli Katara,42856,Bamrauli Katara
118,770,125311,Bamroli,42810,Bamroli
118,765,124484,Bandhanu,43153,Bandhanu
118,767,124719,Bandrauli,265502,Badrauli
118,769,125061,Banguri,43293,Banguri
118,767,124778,Banpur,43033,Banpur
118,766,124599,Barara,42908,Barara
118,767,124840,Barauli,42734,Barauli
118,766,124635,Barauli Ahir,42857,Barauli Ahir
118,766,124682,Barauli Gujar,42858,Barauli Gujar
118,770,125192,Barenda,43225,Barenda
118,768,124907,Bargawan Buzurg,43084,Bargawan Buzurg
118,768,124901,Bargawan Khurd,43085,Barigwama Khurd
118,770,940852,Barha,241778,Barah
118,765,124537,Barhan,42935,Barhan
118,769,125102,Baripura,43025,Sikrara
118,769,125189,Barna,42971,Barna
118,769,125090,Barobara Kalan,43294,Barobara Kalan
118,769,125073,Barobara Khurd,43295,Barobara Khurd
118,767,124847,Baroda Sadar,42782,Baroda Sadar
118,769,125126,Basai,42972,Basai
118,770,125205,Basai Arela,43226,Basai Arela
118,770,125213,Basai Bhadoriya,265538,Basai Bhadoriya
118,770,125198,Basai Goojar,43239,Ondh
118,768,124877,Basai Jagner,43086,Basai Jagner
118,768,125007,Basai Kalan,43254,Basai Kalan
118,768,124963,Basai Kheragarh,43191,Basai Kheragarh
118,768,125008,Basai Khurd,43254,Basai Kalan
118,767,124859,Basaia Raimol,42784,Basaia Raimol
118,767,124786,Basaia Rajput,265509,Basaia Rajput
118,767,124858,Basaiya Bobla,42783,Basai Bobla
118,767,124860,Basaiya Jotraj,42786,Basia Jotiraj
118,767,124855,Baseri Chahar,42785,Basarai Chahar
118,767,124750,Baseri Kazi,43034,Baseri Kazi
118,767,124753,Baseri Sikander,43041,Daultabad
118,770,125305,Basoni,42811,Basoni
118,767,124793,Bastai,42735,Bastai
118,766,124600,Basua Nagla,42923,Patholi
118,770,125256,Bateshwar,42812,Bateshwar
118,768,124885,Bazidpur,43087,Bazidpur
118,770,125340,Bedpura,265539,Bedpura
118,768,124979,Beerai,43256,Birai
118,768,124947,Beesalpur,43192,Beesalpur
118,769,125184,Begampur,42973,Begampur
118,769,125114,Behri,265515,Behri
118,765,124545,Benai,42936,Benai Kalan
118,768,124946,Beri Chahar,43193,Beri Chahar
118,769,125164,Bhadaura,43003,Nagar
118,770,125245,Bhadroli,42813,Bhadroli
118,765,124503,Bhagupur,43154,Bhagupur
118,766,124623,Bhahai,274038,Bhahai
118,768,124956,Bhaker,43194,Bhaker
118,769,125171,Bhalokhara,42974,Bhalokhara
118,766,124620,Bhandai,42860,Bhandai
118,767,124782,Bhandiri,265510,Bhandiri
118,769,125080,Bhanpura,43296,Bhanpura
118,768,124889,Bhara,43088,Bhara
118,769,125120,Bharapur,42975,Bharapur
118,767,124759,Bharhkol,43035,Bharhkol
118,770,125211,Bhari Nagla,43227,Bhari Nagla
118,770,125403,Bhartar,266761,Bhartar
118,770,125284,Bhaupura,42835,Narholi
118,768,124912,Bhawanpura,265463,Bhawanpura
118,768,124968,Bhenson,43195,Bhenson
118,768,125020,Bhidawali,268046,Bhidavali
118,769,125133,Bhikanpur,42976,Bhikanpur
118,765,124569,Bhikanpur Bakarpur,42937,Bhikanpur Bakarpur
118,768,124951,Bhilawali,274051,Bhilawali
118,767,124808,Bhilawati,42736,Bhilawati
118,770,125218,Bhitari,43224,Balai
118,767,124723,Bho Pur,43036,Bho Pur
118,769,125128,Bhogpur,43014,Ramgarh
118,768,124942,Bhojpur,43190,Bakalpur
118,770,125370,Bhojpura,43118,Jaitpura Kalan
118,770,125225,Bhonigapura,43235,Ladhavapura
118,768,124883,Bhopur Jagner,43087,Bazidpur
118,768,124926,Bhopur Kheragarh,43187,Ata
118,769,125112,Bichola,42977,Bichola
118,770,125308,Bichoula,42814,Bichoula
118,766,124588,Bichpuri,42909,Bichpuri
118,768,124937,Bidholi Kheragarh,43197,Bidhauli Kheragarh
118,768,124917,Bidhouli Jagner,43089,Bidhouli Jagner
118,769,125098,Bidrai,43012,Penti Khera
118,767,124837,Bidyapur,42738,Bidhapur
118,769,125153,Bihari,241776,Bihari
118,765,124555,Biharipur,264087,Biharipur
118,766,124664,Bijhamai,42861,Bijhamai
118,766,124679,Bilahani,42862,Bilahani
118,769,125162,Biloni,42978,Biloni
118,769,125148,Bilpura,42979,Bilpura
118,768,124973,Biraharu,43255,Biraharu
118,765,124538,Biruni,42938,Biruni
118,768,124971,Bisahara,43257,Bisahara
118,766,124687,Bisarna,42863,Bisarna
118,769,125046,Bisauri Gaurwa,43297,Bisauri Gaurwa
118,766,124646,Bishara Kalan,42864,Bishara Kalan
118,766,124683,Bishari Bhand,42865,Bishari Bhand
118,768,124945,Bishrampur,43198,Bishrampur
118,770,125250,Bitholi,42815,Bitholi
118,770,125348,Bithona,43111,Bithona
118,767,124831,Biyara,42737,Biara
118,766,124650,Brahmnagar,42852,Akbarpur
118,768,124997,Brithala,43258,Brithala
118,766,124667,Budhana Ehtmali,42866,Budhana Mustkil
118,766,124668,Budhana Mustkil,42866,Budhana Mustkil
118,766,124660,Budhera,42867,Budhera
118,770,125257,Budhera,42812,Bateshwar
118,768,124955,Burhera,43199,Burhera
118,768,124871,Chachond,265460,Chachond
118,767,124844,Chainkora,42787,Chainkora
118,766,124632,Chak Vi Chor Nagaria,42893,Nainana-Brahman
118,770,125313,Chamraua,42816,Chamraua
118,765,124513,Chamraula,42964,Sujanpur
118,769,125135,Chamrauli,42980,Chamrauli
118,768,124935,Chandi,43216,Salahnagar Barbar
118,770,125327,Chandrapur,265542,Chandrapura
118,768,124921,Chandsora,43090,Chandsora
118,770,125288,Changoli,42817,Changoli
118,765,124549,Chaoli,42939,Chaoli
118,770,125361,Charitha,43117,Garhi Baroli
118,765,124502,Chaugan,43155,Chaugan
118,766,124589,Chauhatna,42910,Chauhatna
118,765,124489,Chaukra,43156,Chaukra
118,767,124800,Chauma Farah,42775,Singma
118,767,124702,Chauma Shahpur,43037,Chauma Shahpur
118,768,124952,Cheet,43200,Cheet
118,768,124944,Cheetpur,43198,Bishrampur
118,767,124828,Chha Pokhar,42739,Chhae Pokhar
118,768,125017,Chhattapura,266785,Mangalpur Bantara
118,768,124980,Chhitapur Nagla Birai,43289,Taharpur
118,770,125346,Chikanipura,43133,Nadgawan
118,765,124547,Chirhauli,42940,Chirhauli
118,768,124982,Chitapur Motipura,43259,Chitapur Motipura
118,769,125071,Chitaura,43298,Chitaura
118,770,125385,Chitrahar,43112,Chitrahar
118,770,125323,Chorangabehar,265541,Chorangabehar
118,770,125330,Chourangahar,43113,Chourangahar
118,770,125291,Chousingi,42818,Chousingi
118,765,124529,Chuharpur,42941,Chuharpur
118,767,124708,Churiyari,43038,Churiyari
118,767,124724,Dabar,43039,Dabar
118,769,125036,Dabari,43299,Dabari
118,767,124701,Dadukara,43038,Churiyari
118,767,124736,Dadupura,43057,Mai Bujurg
118,770,125300,Dagroopura,42832,Lakhanpur Khalsa
118,768,124906,Dahgawan,43091,Dahgawan
118,768,124922,Danda,241774,Danda
118,768,124969,Dankasa,43201,Dankasa
