village_code,village_name,district_code,tehsil_code
940864,Aaraji Emlak,118,767
124838,Abhaidopura,118,767
124607,Abhaypura,118,766
125314,Abhaypura,118,770
940865,Abhuapura T A Outside,118,767
940866,Achhnera,118,767
124495,Agarpur,118,765
124552,Agwarkhas,118,765
124524,Aharan,118,765
125165,Aie,118,769
124803,Akabara,118,767
124649,Akbarpur,118,766
124865,Akhbai,118,767
124618,Akola,118,766
125149,Alampur,118,769
124602,Albatia,118,766
125377,Amahi,118,770
124514,Amanabad,118,765
124791,Anganpura,118,767
124591,Anguthi,118,766
124490,Anwal Khera,118,765
124833,Ardaya,118,767
124548,Arela,118,765
124772,Arhera,118,767
125232,Arjun Pura,118,770
125204,Arnota,118,770
125123,Arrji Paliya,118,769
124829,Arrua Khas,118,767
124801,Arsena,118,767
124689,Artauni (Ct),118,766
124927,Ata,118,768
124813,Atus,118,767
124731,Aulenda,118,767
124940,Aurangpur,118,768
124962,Ayela,118,768
124697,Azizpur (Ct),118,766
125174,Babarpur,118,769
125011,Babarpur,118,768
124579,Babarpur Ehtmali,118,766
124580,Babarpur Mustkil,118,766
124789,Babrod,118,767
124626,Bad,118,766
125325,Badagaon,118,770
124745,Badanpur Barnamai,118,767
125299,Badous,118,770
124634,Bagda,118,766
124872,Baghour,118,768
125242,Baghrena,118,770
125316,Bah,118,770
125272,Bah Dehat,118,770
124861,Baha,118,767
124761,Baharabati Khas,118,767
124645,Bahenta,118,766
124551,Bahrampur,118,765
124478,Bailoth,118,765
124854,Baiman,118,767
124612,Bain Khera,118,766
124575,Bainpur Mustkil,118,766
124578,Baipur Ehtmali,118,766
124644,Bajhera,118,766
124771,Bajidpura,118,767
125052,Bakalpur,118,769
124941,Bakalpur,118,768
124768,Bakanda Khas,118,767
125217,Balai,118,770
124606,Balhera,118,766
124480,Baman,118,765
124857,Bamanpura,118,767
124898,Bamnai Kalan,118,768
124897,Bamnai Khurd,118,768
125118,Bamrauli,118,769
124604,Bamrauli Ahir,118,766
124661,Bamrauli Katara,118,766
125311,Bamroli,118,770
124484,Bandhanu,118,765
124719,Bandrauli,118,767
940867,Bangkalan,118,767
125061,Banguri,118,769
124778,Banpur,118,767
124599,Barara,118,766
124840,Barauli,118,767
124635,Barauli Ahir,118,766
124682,Barauli Gujar,118,766
125192,Barenda,118,770
124907,Bargawan Buzurg,118,768
124901,Bargawan Khurd,118,768
940852,Barha,118,770
124537,Barhan,118,765
125102,Baripura,118,769
125189,Barna,118,769
125090,Barobara Kalan,118,769
125073,Barobara Khurd,118,769
124847,Baroda Sadar,118,767
124665,Basai,118,766
125126,Basai,118,769
125205,Basai Arela,118,770
125213,Basai Bhadoriya,118,770
125198,Basai Goojar,118,770
124877,Basai Jagner,118,768
125007,Basai Kalan,118,768
124963,Basai Kheragarh,118,768
125008,Basai Khurd,118,768
940818,Basai Mushatkil Chungi Andar,118,766
124859,Basaia Raimol,118,767
124786,Basaia Rajput,118,767
124858,Basaiya Bobla,118,767
124860,Basaiya Jotraj,118,767
124855,Baseri Chahar,118,767
124750,Baseri Kazi,118,767
124753,Baseri Sikander,118,767
125305,Basoni,118,770
124793,Bastai,118,767
124600,Basua Nagla,118,766
125256,Bateshwar,118,770
124885,Bazidpur,118,768
125340,Bedpura,118,770
124979,Beerai,118,768
124947,Beesalpur,118,768
125184,Begampur,118,769
125114,Behri,118,769
124545,Benai,118,765
124946,Beri Chahar,118,768
125164,Bhadaura,118,769
125245,Bhadroli,118,770
124503,Bhagupur,118,765
124623,Bhahai,118,766
124956,Bhaker,118,768
125171,Bhalokhara,118,769
124620,Bhandai,118,766
124782,Bhandiri,118,767
125080,Bhanpura,118,769
124889,Bhara,118,768
125120,Bharapur,118,769
124759,Bharhkol,118,767
125211,Bhari Nagla,118,770
125403,Bhartar,118,770
125284,Bhaupura,118,770
124912,Bhawanpura,118,768
124968,Bhenson,118,768
125020,Bhidawali,118,768
125133,Bhikanpur,118,769
124569,Bhikanpur Bakarpur,118,765
124951,Bhilawali,118,768
124808,Bhilawati,118,767
125218,Bhitari,118,770
124723,Bho Pur,118,767
940819,Bhogipura,118,766
125128,Bhogpur,118,769
124942,Bhojpur,118,768
125370,Bhojpura,118,770
940853,Bholai Mohammadpur,118,765
125225,Bhonigapura,118,770
124883,Bhopur Jagner,118,768
124926,Bhopur Kheragarh,118,768
125112,Bichola,118,769
125308,Bichoula,118,770
124588,Bichpuri,118,766
124937,Bidholi Kheragarh,118,768
124917,Bidhouli Jagner,118,768
125098,Bidrai,118,769
124837,Bidyapur,118,767
125153,Bihari,118,769
124555,Biharipur,118,765
124664,Bijhamai,118,766
124679,Bilahani,118,766
125162,Biloni,118,769
125148,Bilpura,118,769
124973,Biraharu,118,768
124538,Biruni,118,765
124971,Bisahara,118,768
124687,Bisarna,118,766
125046,Bisauri Gaurwa,118,769
124646,Bishara Kalan,118,766
124683,Bishari Bhand,118,766
124945,Bishrampur,118,768
125250,Bitholi,118,770
125348,Bithona,118,770
124831,Biyara,118,767
940820,Bodla,118,766
124650,Brahmnagar,118,766
124997,Brithala,118,768
124667,Budhana Ehtmali,118,766
124668,Budhana Mustkil,118,766
124660,Budhera,118,766
125257,Budhera,118,770
124955,Burhera,118,768
124871,Chachond,118,768
124844,Chainkora,118,767
940821,Chak Abbal,118,766
940822,Chak Chahram,118,766
940823,Chak Doyam,118,766
940824,Chak Hafatam,118,766
940825,Chak Pancham,118,766
940826,Chak Sheesham,118,766
940827,Chak Shoyam,118,766
124632,Chak Vi Chor Nagaria,118,766
940854,Chalesar,118,765
125313,Chamraua,118,770
124513,Chamraula,118,765
124633,Chamrauli,118,766
125135,Chamrauli,118,769
124935,Chandi,118,768
125327,Chandrapur,118,770
124921,Chandsora,118,768
125288,Changoli,118,770
124549,Chaoli,118,765
125361,Charitha,118,770
124502,Chaugan,118,765
124589,Chauhatna,118,766
124489,Chaukra,118,765
124800,Chauma Farah,118,767
124702,Chauma Shahpur,118,767
940828,Chawali,118,766
124952,Cheet,118,768
124944,Cheetpur,118,768
124828,Chha Pokhar,118,767
125017,Chhattapura,118,768
124980,Chhitapur Nagla Birai,118,768
125346,Chikanipura,118,770
124547,Chirhauli,118,765
124982,Chitapur Motipura,118,768
125071,Chitaura,118,769
125385,Chitrahar,118,770
125323,Chorangabehar,118,770
125330,Chourangahar,118,770
125291,Chousingi,118,770
124529,Chuharpur,118,765
124708,Churiyari,118,767
124724,Dabar,118,767
125036,Dabari,118,769
124701,Dadukara,118,767
124736,Dadupura,118,767
125300,Dagroopura,118,770
124906,Dahgawan,118,768
124922,Danda,118,768
124969,Dankasa,118,768
125016,Darki,118,768
124714,Daudpur,118,767
125069,Dauki,118,769
124756,Daultabad,118,767
124846,Davli,118,767
125281,Deenpura,118,770
124690,Dehtora (Ct),118,766
124744,Deonari,118,767
124777,Deorentha,118,767
124693,Deoretha (Ct),118,766
124642,Deori,118,766
125275,Derak,118,770
125343,Devpura,118,770
124892,Devri,118,768
