municipal_body_code,ward_code,ward_number,ward_name
248145,604259,1,Ambedkar Nagar
248145,604268,10,Ashfaq Nagar
248145,604260,2,Lohiya Nagar
248145,604261,3,Habibulla Nagar
248145,604262,4,Subhash Nagar
248145,604263,5,Gandhi Nagar
248145,604264,6,Indira Nagar
248145,604265,7,Rajendra Nagar
248145,604266,8,Azad Nagar
248145,604267,9,Ma. Kanshiram Nagar
248870,27194,1,Behat (NP) - Ward No.1
248870,27203,10,Behat (NP) - Ward No.10
248870,27204,11,Behat (NP) - Ward No.11
248870,27205,12,Behat (NP) - Ward No.12
248870,27206,13,Behat (NP) - Ward No.13
248870,27195,2,Behat (NP) - Ward No.2
248870,27196,3,Behat (NP) - Ward No.3
248870,27197,4,Behat (NP) - Ward No.4
248870,27198,5,Behat (NP) - Ward No.5
248870,27199,6,Behat (NP) - Ward No.6
248870,27200,7,Behat (NP) - Ward No.7
248870,27201,8,Behat (NP) - Ward No.8
248870,27202,9,Behat (NP) - Ward No.9
248873,27209,1,Saharanpur (MB) - Ward No.1
248873,27218,10,Saharanpur (MB) - Ward No.10
248873,27219,11,Saharanpur (MB) - Ward No.11
248873,27220,12,Saharanpur (MB) - Ward No.12
248873,27221,13,Saharanpur (MB) - Ward No.13
248873,27222,14,Saharanpur (MB) - Ward No.14
248873,27223,15,Saharanpur (MB) - Ward No.15
248873,27224,16,Saharanpur (MB) - Ward No.16
248873,27225,17,Saharanpur (MB) - Ward No.17
248873,27226,18,Saharanpur (MB) - Ward No.18
248873,27227,19,Saharanpur (MB) - Ward No.19
248873,27210,2,Saharanpur (MB) - Ward No.2
248873,27228,20,Saharanpur (MB) - Ward No.20
248873,27229,21,Saharanpur (MB) - Ward No.21
248873,27230,22,Saharanpur (MB) - Ward No.22
248873,27231,23,Saharanpur (MB) - Ward No.23
248873,27232,24,Saharanpur (MB) - Ward No.24
248873,27233,25,Saharanpur (MB) - Ward No.25
248873,27234,26,Saharanpur (MB) - Ward No.26
248873,27235,27,Saharanpur (MB) - Ward No.27
248873,27236,28,Saharanpur (MB) - Ward No.28
248873,27237,29,Saharanpur (MB) - Ward No.29
248873,27211,3,Saharanpur (MB) - Ward No.3
248873,27238,30,Saharanpur (MB) - Ward No.30
248873,27239,31,Saharanpur (MB) - Ward No.31
248873,27240,32,Saharanpur (MB) - Ward No.32
248873,27241,33,Saharanpur (MB) - Ward No.33
248873,27242,34,Saharanpur (MB) - Ward No.34
248873,27243,35,Saharanpur (MB) - Ward No.35
248873,27244,36,Saharanpur (MB) - Ward No.36
248873,27245,37,Saharanpur (MB) - Ward No.37
248873,27246,38,Saharanpur (MB) - Ward No.38
248873,27247,39,Saharanpur (MB) - Ward No.39
248873,27212,4,Saharanpur (MB) - Ward No.4
248873,27248,40,Saharanpur (MB) - Ward No.40
248873,3299139,41,Saharanpur (MB) - Ward No.41
248873,3299140,42,Saharanpur (MB) - Ward No.42
248873,3299141,43,Saharanpur (MB) - Ward No.43
248873,3299142,44,Saharanpur (MB) - Ward No.44
248873,3299143,45,Saharanpur (MB) - Ward No.45
248873,3299144,46,Saharanpur (MB) - Ward No.46
248873,3299145,47,Saharanpur (MB) - Ward No.47
248873,3299146,48,Saharanpur (MB) - Ward No.48
248873,3299147,49,Saharanpur (MB) - Ward No.49
248873,27213,5,Saharanpur (MB) - Ward No.5
248873,3299148,50,Saharanpur (MB) - Ward No.50
248873,3299149,51,Saharanpur (MB) - Ward No.51
248873,3299150,52,Saharanpur (MB) - Ward No.52
248873,3299151,53,Saharanpur (MB) - Ward No.53
248873,3299152,54,Saharanpur (MB) - Ward No.54
248873,3299153,55,Saharanpur (MB) - Ward No.55
248873,3299154,56,Saharanpur (MB) - Ward No.56
248873,3299155,57,Saharanpur (MB) - Ward No.57
248873,3299156,58,Saharanpur (MB) - Ward No.58
248873,3299157,59,Saharanpur (MB) - Ward No.59
248873,27214,6,Saharanpur (MB) - Ward No.6
248873,3299158,60,Saharanpur (MB) - Ward No.60
248873,3299159,61,Saharanpur (MB) - Ward No.61
248873,3299160,62,Saharanpur (MB) - Ward No.62
248873,3299161,63,Saharanpur (MB) - Ward No.63
248873,3299162,64,Saharanpur (MB) - Ward No.64
248873,3299163,65,Saharanpur (MB) - Ward No.65
248873,3299164,66,Saharanpur (MB) - Ward No.66
248873,3299165,67,Saharanpur (MB) - Ward No.67
248873,3299166,68,Saharanpur (MB) - Ward No.68
248873,3299167,69,Saharanpur (MB) - Ward No.69
248873,27215,7,Saharanpur (MB) - Ward No.7
248873,3299168,70,Saharanpur (MB) - Ward No.70
248873,27216,8,Saharanpur (MB) - Ward No.8
248873,27217,9,Saharanpur (MB) - Ward No.9
248874,72454,1,Chilkana Sultanpur (NP) - Ward No.1
248874,72463,10,Chilkana Sultanpur (NP) - Ward No.10
248874,72464,11,Chilkana Sultanpur (NP) - Ward No.11
248874,72465,12,Chilkana Sultanpur (NP) - Ward No.12
248874,72455,2,Chilkana Sultanpur (NP) - Ward No.2
248874,72456,3,Chilkana Sultanpur (NP) - Ward No.3
248874,72457,4,Chilkana Sultanpur (NP) - Ward No.4
248874,72458,5,Chilkana Sultanpur (NP) - Ward No.5
248874,72459,6,Chilkana Sultanpur (NP) - Ward No.6
248874,72460,7,Chilkana Sultanpur (NP) - Ward No.7
248874,72461,8,Chilkana Sultanpur (NP) - Ward No.8
248874,72462,9,Chilkana Sultanpur (NP) - Ward No.9
248875,27249,1,Sarsawan (MB) - Ward No.1
248875,27258,10,Sarsawan (MB) - Ward No.10
248875,27259,11,Sarsawan (MB) - Ward No.11
248875,27260,12,Sarsawan (MB) - Ward No.12
248875,27261,13,Sarsawan (MB) - Ward No.13
248875,27262,14,Sarsawan (MB) - Ward No.14
248875,27263,15,Sarsawan (MB) - Ward No.15
248875,27264,16,Sarsawan (MB) - Ward No.16
248875,27265,17,Sarsawan (MB) - Ward No.17
248875,27266,18,Sarsawan (MB) - Ward No.18
248875,27267,19,Sarsawan (MB) - Ward No.19
248875,27250,2,Sarsawan (MB) - Ward No.2
248875,27268,20,Sarsawan (MB) - Ward No.20
248875,27269,21,Sarsawan (MB) - Ward No.21
248875,27270,22,Sarsawan (MB) - Ward No.22
248875,27271,23,Sarsawan (MB) - Ward No.23
248875,27272,24,Sarsawan (MB) - Ward No.24
248875,27273,25,Sarsawan (MB) - Ward No.25
248875,27251,3,Sarsawan (MB) - Ward No.3
248875,27252,4,Sarsawan (MB) - Ward No.4
248875,27253,5,Sarsawan (MB) - Ward No.5
248875,27254,6,Sarsawan (MB) - Ward No.6
248875,27255,7,Sarsawan (MB) - Ward No.7
248875,27256,8,Sarsawan (MB) - Ward No.8
248875,27257,9,Sarsawan (MB) - Ward No.9
248876,72466,1,Nakur (MB) - Ward No.1
248876,72665,10,Nakur (MB) - Ward No.10
248876,72666,11,Nakur (MB) - Ward No.11
248876,72667,12,Nakur (MB) - Ward No.12
248876,72668,13,Nakur (MB) - Ward No.13
248876,72669,14,Nakur (MB) - Ward No.14
248876,72670,15,Nakur (MB) - Ward No.15
248876,72671,16,Nakur (MB) - Ward No.16
248876,72672,17,Nakur (MB) - Ward No.17
248876,72673,18,Nakur (MB) - Ward No.18
248876,72674,19,Nakur (MB) - Ward No.19
248876,72467,2,Nakur (MB) - Ward No.2
248876,72675,20,Nakur (MB) - Ward No.20
248876,72676,21,Nakur (MB) - Ward No.21
248876,72677,22,Nakur (MB) - Ward No.22
248876,72678,23,Nakur (MB) - Ward No.23
248876,72679,24,Nakur (MB) - Ward No.24
248876,72680,25,Nakur (MB) - Ward No.25
248876,72468,3,Nakur (MB) - Ward No.3
248876,72659,4,Nakur (MB) - Ward No.4
248876,72660,5,Nakur (MB) - Ward No.5
248876,72661,6,Nakur (MB) - Ward No.6
248876,72662,7,Nakur (MB) - Ward No.7
248876,72663,8,Nakur (MB) - Ward No.8
248876,72664,9,Nakur (MB) - Ward No.9
248877,27274,1,Ambehta (NP) - Ward No.1
248877,27283,10,Ambehta (NP) - Ward No.10
248877,27284,11,Ambehta (NP) - Ward No.11
248877,27275,2,Ambehta (NP) - Ward No.2
248877,27276,3,Ambehta (NP) - Ward No.3
248877,27277,4,Ambehta (NP) - Ward No.4
248877,27278,5,Ambehta (NP) - Ward No.5
248877,27279,6,Ambehta (NP) - Ward No.6
248877,27280,7,Ambehta (NP) - Ward No.7
248877,27281,8,Ambehta (NP) - Ward No.8
248877,27282,9,Ambehta (NP) - Ward No.9
248878,72681,1,Gangoh (MB) - Ward No.1
248878,72690,10,Gangoh (MB) - Ward No.10
248878,72691,11,Gangoh (MB) - Ward No.11
248878,72692,12,Gangoh (MB) - Ward No.12
248878,72693,13,Gangoh (MB) - Ward No.13
248878,72694,14,Gangoh (MB) - Ward No.14
248878,72695,15,Gangoh (MB) - Ward No.15
248878,72696,16,Gangoh (MB) - Ward No.16
248878,72697,17,Gangoh (MB) - Ward No.17
248878,72698,18,Gangoh (MB) - Ward No.18
248878,72699,19,Gangoh (MB) - Ward No.19
248878,72682,2,Gangoh (MB) - Ward No.2
248878,72700,20,Gangoh (MB) - Ward No.20
248878,72701,21,Gangoh (MB) - Ward No.21
248878,72702,22,Gangoh (MB) - Ward No.22
248878,72703,23,Gangoh (MB) - Ward No.23
248878,72704,24,Gangoh (MB) - Ward No.24
248878,72705,25,Gangoh (MB) - Ward No.25
248878,72683,3,Gangoh (MB) - Ward No.3
248878,72684,4,Gangoh (MB) - Ward No.4
248878,72685,5,Gangoh (MB) - Ward No.5
248878,72686,6,Gangoh (MB) - Ward No.6
248878,72687,7,Gangoh (MB) - Ward No.7
248878,72688,8,Gangoh (MB) - Ward No.8
248878,72689,9,Gangoh (MB) - Ward No.9
248879,27285,1,Titron (NP) - Ward No.1
248879,27294,10,Titron (NP) - Ward No.10
248879,27286,2,Titron (NP) - Ward No.2
248879,27287,3,Titron (NP) - Ward No.3
248879,27288,4,Titron (NP) - Ward No.4
248879,27289,5,Titron (NP) - Ward No.5
248879,27290,6,Titron (NP) - Ward No.6
248879,27291,7,Titron (NP) - Ward No.7
248879,27292,8,Titron (NP) - Ward No.8
248879,27293,9,Titron (NP) - Ward No.9
248880,27295,1,Nanauta (NP) - Ward No.1
248880,27304,10,Nanauta (NP) - Ward No.10
248880,27305,11,Nanauta (NP) - Ward No.11
248880,27306,12,Nanauta (NP) - Ward No.12
248880,27296,2,Nanauta (NP) - Ward No.2
248880,27297,3,Nanauta (NP) - Ward No.3
248880,27298,4,Nanauta (NP) - Ward No.4
248880,27299,5,Nanauta (NP) - Ward No.5
248880,27300,6,Nanauta (NP) - Ward No.6
248880,27301,7,Nanauta (NP) - Ward No.7
248880,27302,8,Nanauta (NP) - Ward No.8
248880,27303,9,Nanauta (NP) - Ward No.9
248881,27307,1,Rampur Maniharan (NP) - Ward No.1
248881,27316,10,Rampur Maniharan (NP) - Ward No.10
248881,27317,11,Rampur Maniharan (NP) - Ward No.11
248881,27318,12,Rampur Maniharan (NP) - Ward No.12
248881,27319,13,Rampur Maniharan (NP) - Ward No.13
248881,27320,14,Rampur Maniharan (NP) - Ward No.14
248881,27321,15,Rampur Maniharan (NP) - Ward No.15
248881,27322,16,Rampur Maniharan (NP) - Ward No.16
248881,27308,2,Rampur Maniharan (NP) - Ward No.2
248881,27309,3,Rampur Maniharan (NP) - Ward No.3
248881,27310,4,Rampur Maniharan (NP) - Ward No.4
248881,27311,5,Rampur Maniharan (NP) - Ward No.5
248881,27312,6,Rampur Maniharan (NP) - Ward No.6
248881,27313,7,Rampur Maniharan (NP) - Ward No.7
248881,27314,8,Rampur Maniharan (NP) - Ward No.8
248881,27315,9,Rampur Maniharan (NP) - Ward No.9
248882,27323,1,Deoband (MB) - Ward No.1
248882,27332,10,Deoband (MB) - Ward No.10
248882,27333,11,Deoband (MB) - Ward No.11
248882,27334,12,Deoband (MB) - Ward No.12
248882,27335,13,Deoband (MB) - Ward No.13
248882,27336,14,Deoband (MB) - Ward No.14
248882,27337,15,Deoband (MB) - Ward No.15
248882,27338,16,Deoband (MB) - Ward No.16
248882,27339,17,Deoband (MB) - Ward No.17
248882,27340,18,Deoband (MB) - Ward No.18
248882,27434,19,Deoband (MB) - Ward No.19
248882,27324,2,Deoband (MB) - Ward No.2
248882,27435,20,Deoband (MB) - Ward No.20
248882,27436,21,Deoband (MB) - Ward No.21
248882,27437,22,Deoband (MB) - Ward No.22
248882,27438,23,Deoband (MB) - Ward No.23
