district_name,block_name,block_code,gram_panchayat_name,gram_panchayat_code
AGRA,ACHHNERA,1386,Anganpur,265508
AGRA,ACHHNERA,1386,Basaia Rajput,265509
AGRA,ACHHNERA,1386,Bhandiri,265510
AGRA,ACHHNERA,1386,ABHAUDOPURA,42727
AGRA,ACHHNERA,1386,AKABARA,42728
AGRA,ACHHNERA,1386,ARDAYA,42729
AGRA,ACHHNERA,1386,ARRUA KHAS,42730
AGRA,ACHHNERA,1386,ARSENA,42731
AGRA,ACHHNERA,1386,ATUS,42732
AGRA,ACHHNERA,1386,BABROD,42733
AGRA,ACHHNERA,1386,BARAULI,42734
AGRA,ACHHNERA,1386,BASTAI,42735
AGRA,ACHHNERA,1386,BHILAWATI,42736
AGRA,ACHHNERA,1386,BIARA,42737
AGRA,ACHHNERA,1386,BIDHAPUR,42738
AGRA,ACHHNERA,1386,CHHAE POKHAR,42739
AGRA,ACHHNERA,1386,DHANOLI,42740
AGRA,ACHHNERA,1386,FATEHPURA,42741
AGRA,ACHHNERA,1386,GADI CANDARMAN,42742
AGRA,ACHHNERA,1386,GARHIMA,42743
AGRA,ACHHNERA,1386,GOBRA,42744
AGRA,ACHHNERA,1386,GOPAU,42745
AGRA,ACHHNERA,1386,HANSELA,42746
AGRA,ACHHNERA,1386,JANUTHA,42747
AGRA,ACHHNERA,1386,JHAROTI,42748
AGRA,ACHHNERA,1386,KACHAURA,42749
AGRA,ACHHNERA,1386,KATHAWARI,42750
AGRA,ACHHNERA,1386,KHARBAI,42751
AGRA,ACHHNERA,1386,KHERA BAKANDA,42752
AGRA,ACHHNERA,1386,KHERA SADHAN,42753
AGRA,ACHHNERA,1386,KITHAM,42754
AGRA,ACHHNERA,1386,KUKATHALA,42755
AGRA,ACHHNERA,1386,LOH KARERA,42756
AGRA,ACHHNERA,1386,MAHUAR,42757
AGRA,ACHHNERA,1386,MAI,42758
AGRA,ACHHNERA,1386,MANGAROL GUJAR,42759
AGRA,ACHHNERA,1386,MANGAROLI JAT,42760
AGRA,ACHHNERA,1386,MANGURA,42761
AGRA,ACHHNERA,1386,MUBARIKPUR,42762
AGRA,ACHHNERA,1386,MURANDA,42763
AGRA,ACHHNERA,1386,NAGAR,42764
AGRA,ACHHNERA,1386,NAGLA ARUA,42765
AGRA,ACHHNERA,1386,PANWARI,42766
AGRA,ACHHNERA,1386,PURAMANA,42767
AGRA,ACHHNERA,1386,RAIBHA,42768
AGRA,ACHHNERA,1386,RAIPURA AHIR,42769
AGRA,ACHHNERA,1386,RUNKATA,42770
AGRA,ACHHNERA,1386,SAHAI,42771
AGRA,ACHHNERA,1386,SAKATPUR,42772
AGRA,ACHHNERA,1386,SANDHAN,42773
AGRA,ACHHNERA,1386,SEHTA,42774
AGRA,ACHHNERA,1386,SINGMA,42775
AGRA,AKOLA,1387,BAGHA SONIGA,241771
AGRA,AKOLA,1387,DHANAULI,241772
AGRA,AKOLA,1387,Jitora,265469
AGRA,AKOLA,1387,Sagunapur,265496
AGRA,AKOLA,1387,Naraul,265498
AGRA,AKOLA,1387,Khal,265499
AGRA,AKOLA,1387,ABHAYPURA,42776
AGRA,AKOLA,1387,AKHBAI,42777
AGRA,AKOLA,1387,AKOLA,42778
AGRA,AKOLA,1387,BAIN KHERA,42779
AGRA,AKOLA,1387,BALHERA,42780
AGRA,AKOLA,1387,BAMAN,42781
AGRA,AKOLA,1387,BARODA SADAR,42782
AGRA,AKOLA,1387,BASAI BOBLA,42783
AGRA,AKOLA,1387,BASAIA RAIMOL,42784
AGRA,AKOLA,1387,BASARAI CHAHAR,42785
AGRA,AKOLA,1387,BASIA JOTIRAJ,42786
AGRA,AKOLA,1387,CHAINKORA,42787
AGRA,AKOLA,1387,DAVLI,42788
AGRA,AKOLA,1387,GAHARA KALAN,42789
AGRA,AKOLA,1387,GAHARA KHURD,42790
AGRA,AKOLA,1387,GAMARI,42791
AGRA,AKOLA,1387,IKRAM NAGAR,42792
AGRA,AKOLA,1387,JAIN GARA,42793
AGRA,AKOLA,1387,JARUA KATRA,42794
AGRA,AKOLA,1387,KARAHARA,42795
AGRA,AKOLA,1387,KHERA BHAGOR,42796
AGRA,AKOLA,1387,KHERIA,42797
AGRA,AKOLA,1387,LALAU,42798
AGRA,AKOLA,1387,MALPURA,42799
AGRA,AKOLA,1387,MANIYAN,42800
AGRA,AKOLA,1387,MANKENDA,42801
AGRA,AKOLA,1387,NAGLA SIKARWAR,42802
AGRA,AKOLA,1387,NAHCHANI,42803
AGRA,AKOLA,1387,PINANI RAMNAGAR,42804
AGRA,AKOLA,1387,SALEMABAD,42805
AGRA,AKOLA,1387,SIROLI,42806
AGRA,AKOLA,1387,UJARAI,42807
AGRA,BAH,1388,BARAH,241778
AGRA,BAH,1388,Siyainch,265533
AGRA,BAH,1388,Pratap Pura,265534
AGRA,BAH,1388,Mudiyapura,265535
AGRA,BAH,1388,Padkoli,265536
AGRA,BAH,1388,Bhartar,266761
AGRA,BAH,1388,ABHAYPURA,42808
AGRA,BAH,1388,BADOUS,42809
AGRA,BAH,1388,BAMROLI,42810
AGRA,BAH,1388,BASONI,42811
AGRA,BAH,1388,BATESHWAR,42812
AGRA,BAH,1388,BHADROLI,42813
AGRA,BAH,1388,BICHOULA,42814
AGRA,BAH,1388,BITHOLI,42815
AGRA,BAH,1388,CHAMRAUA,42816
AGRA,BAH,1388,CHANGOLI,42817
AGRA,BAH,1388,CHOUSINGI,42818
AGRA,BAH,1388,DERAK,42819
AGRA,BAH,1388,DODAPURA,42820
AGRA,BAH,1388,EMANPURA,42821
AGRA,BAH,1388,GONSILI,42822
AGRA,BAH,1388,GOPAL PURA,42823
AGRA,BAH,1388,GUNGAWALI,42824
AGRA,BAH,1388,HINGOT KHERA,42825
AGRA,BAH,1388,ITAILI,42826
AGRA,BAH,1388,JARAR,42827
AGRA,BAH,1388,KALINJAR,42828
AGRA,BAH,1388,KENJRA,42829
AGRA,BAH,1388,KUNWAR KHEDA,42830
AGRA,BAH,1388,KWAARI,42831
AGRA,BAH,1388,LAKHANPUR KHALSA,42832
AGRA,BAH,1388,MAI,42833
AGRA,BAH,1388,MANGADPUR,42834
AGRA,BAH,1388,NARHOLI,42835
AGRA,BAH,1388,PARBATIPURA,42836
AGRA,BAH,1388,PHARAIRA,42837
AGRA,BAH,1388,PHARAIRI,42838
AGRA,BAH,1388,RAIPURA BHADORIYA,42839
AGRA,BAH,1388,RAJPURA,42840
AGRA,BAH,1388,RAMPUR CHANDRASAINI,42841
AGRA,BAH,1388,RUDMULI,42842
AGRA,BAH,1388,SANNPURA,42843
AGRA,BAH,1388,SIDHAOLI,42844
AGRA,BAH,1388,SIMRAHI,42845
AGRA,BAH,1388,SUNSAR,42846
AGRA,BAH,1388,TARSON,42847
AGRA,BAH,1388,VERI,42848
AGRA,BAH,1388,VIJOLI,42849
AGRA,BAH,1388,VIKARAMPUR,42850
AGRA,BAH,1388,ZEBARA,42851
