district_code,district_name,gram_panchayat_code,gram_panchayat_name,prd_block_name,prd_block_code
140,Ayodhya,60965,Acchora,HARINGATANGANJ,1670
119,Aligarh,43887,Ahak,JAWAN,1409
140,Ayodhya,60967,Aharan Suvansh,HARINGATANGANJ,1670
119,Aligarh,43888,Ahroli,JAWAN,1409
125,Bahraich,266633,Aladapur,TAJWAPUR,1489
119,Aligarh,266363,Alampur Subkara,JAWAN,1409
119,Aligarh,43889,Amrauli,JAWAN,1409
119,Aligarh,43890,Bahrampur,JAWAN,1409
119,Aligarh,266356,Bajgarhi,JAWAN,1409
125,Bahraich,49513,Bala Saraya,TAJWAPUR,1489
119,Aligarh,43892,Barhati,JAWAN,1409
125,Bahraich,49514,Bariya,TAJWAPUR,1489
125,Bahraich,49516,Baukaha,TAJWAPUR,1489
125,Bahraich,49517,Baundi Fateullapur,TAJWAPUR,1489
125,Bahraich,49519,Bhakala Gopalpur,TAJWAPUR,1489
119,Aligarh,43893,Bhim Garihi,JAWAN,1409
125,Bahraich,49522,Bhogiyapur,TAJWAPUR,1489
119,Aligarh,43894,Bhojpur Garhia,JAWAN,1409
140,Ayodhya,267454,Bhulaipur Nidhiyawa,HARINGATANGANJ,1670
125,Bahraich,266637,Bijjauwapur,TAJWAPUR,1489
125,Bahraich,266628,Bilaspur,TAJWAPUR,1489
125,Bahraich,49523,Bir Shahpur,TAJWAPUR,1489
125,Bahraich,49525,Chandanpur Sikaria,TAJWAPUR,1489
125,Bahraich,49526,Chaukhdiya,TAJWAPUR,1489
125,Bahraich,49527,Chetara,TAJWAPUR,1489
119,Aligarh,43897,Chherat Sudhal,JAWAN,1409
140,Ayodhya,60973,Chikhari,HARINGATANGANJ,1670
119,Aligarh,43898,Dabthala,JAWAN,1409
125,Bahraich,49528,Dahawa,TAJWAPUR,1489
119,Aligarh,43899,Daoopur,JAWAN,1409
119,Aligarh,43900,Daoopur Kota,JAWAN,1409
125,Bahraich,49529,Dasarathpur,TAJWAPUR,1489
140,Ayodhya,60975,Devgiri,HARINGATANGANJ,1670
140,Ayodhya,60976,Dewan Para,HARINGATANGANJ,1670
119,Aligarh,43901,Dhainkura,JAWAN,1409
140,Ayodhya,267384,Dhemashivbaxarai,HARINGATANGANJ,1670
125,Bahraich,49530,Dhobiha,TAJWAPUR,1489
125,Bahraich,266632,Dhodhayal,TAJWAPUR,1489
140,Ayodhya,60978,Dihpure Birbal,HARINGATANGANJ,1670
125,Bahraich,49531,Dokari,TAJWAPUR,1489
