block_code,block_name,district_code,tehsil_code,tehsil_name,resolution,source
803,Achhnera,118,767,Kiraoli,derived_village,village_gram_panchayat_mapping.csv
804,Akola,118,766,Agra,derived_village,village_gram_panchayat_mapping.csv
804,Akola,118,767,Kiraoli,derived_village,village_gram_panchayat_mapping.csv
805,Bah,118,770,Bah,derived_village,village_gram_panchayat_mapping.csv
806,Barauli Ahir,118,766,Agra,derived_village,village_gram_panchayat_mapping.csv
807,Bichpuri,118,766,Agra,derived_village,village_gram_panchayat_mapping.csv
808,Etmadpur,118,765,Etmadpur,derived_village,village_gram_panchayat_mapping.csv
809,Fatehabad,118,769,Fatehabad,derived_village,village_gram_panchayat_mapping.csv
810,Fatehpur Sikri,118,767,Kiraoli,derived_village,village_gram_panchayat_mapping.csv
811,Jagner,118,768,Kheragarh,derived_village,village_gram_panchayat_mapping.csv
812,Jaitpur Kalan,118,770,Bah,derived_village,village_gram_panchayat_mapping.csv
813,Khandauli,118,765,Etmadpur,derived_village,village_gram_panchayat_mapping.csv
814,Kheragarh,118,768,Kheragarh,derived_village,village_gram_panchayat_mapping.csv
815,Pinahat,118,770,Bah,derived_village,village_gram_panchayat_mapping.csv
816,Saiyan,118,768,Kheragarh,derived_village,village_gram_panchayat_mapping.csv
817,Shamsabad,118,769,Fatehabad,derived_village,village_gram_panchayat_mapping.csv
818,Akrabad,119,755,Koil,derived_village,village_gram_panchayat_mapping.csv
819,Atrauli,119,754,Atrauli,derived_village,village_gram_panchayat_mapping.csv
820,Bijauli,119,754,Atrauli,derived_village,village_gram_panchayat_mapping.csv
821,Chandaus,119,752,Khair,derived_village,village_gram_panchayat_mapping.csv
821,Chandaus,119,753,Gabhana,derived_village,village_gram_panchayat_mapping.csv
822,Dhanipur,119,755,Koil,derived_village,village_gram_panchayat_mapping.csv
823,Gangiri,119,754,Atrauli,derived_village,village_gram_panchayat_mapping.csv
824,Gonda,119,756,Iglas,derived_village,village_gram_panchayat_mapping.csv
825,Iglas,119,756,Iglas,derived_village,village_gram_panchayat_mapping.csv
826,Jawan Sikanderpur,119,753,Gabhana,derived_village,village_gram_panchayat_mapping.csv
826,Jawan Sikanderpur,119,755,Koil,derived_village,village_gram_panchayat_mapping.csv
827,Khair,119,752,Khair,derived_village,village_gram_panchayat_mapping.csv
827,Khair,119,753,Gabhana,derived_village,village_gram_panchayat_mapping.csv
828,Lodha,119,753,Gabhana,derived_village,village_gram_panchayat_mapping.csv
828,Lodha,119,755,Koil,derived_village,village_gram_panchayat_mapping.csv
829,Tappal,119,752,Khair,derived_village,village_gram_panchayat_mapping.csv
830,Bahadurpur,120,889,Phulpur,exact,https://prayagraj.nic.in/development-block/
831,Bahria,120,889,Phulpur,verified_name_variant,https://prayagraj.nic.in/development-block/
832,Chaka,120,892,Karchhana,exact,https://prayagraj.nic.in/development-block/
833,Dhanupur,120,893,Handia,exact,https://prayagraj.nic.in/development-block/
834,Handia,120,893,Handia,exact,https://prayagraj.nic.in/development-block/
835,Holagarh,120,888,Soraon,exact,https://prayagraj.nic.in/development-block/
836,Jasra,120,891,Bara,exact,https://prayagraj.nic.in/development-block/
837,Karchhana,120,892,Karchhana,exact,https://prayagraj.nic.in/development-block/
838,Kaudhiyara,120,892,Karchhana,verified_name_variant,https://prayagraj.nic.in/development-block/
839,Kaurihar,120,888,Soraon,exact,https://prayagraj.nic.in/development-block/
839,Kaurihar,120,890,Allahabad,derived_village,village_gram_panchayat_mapping.csv
840,Koraon,120,894,Meja,derived_village,village_gram_panchayat_mapping.csv
840,Koraon,120,895,Koraon,exact,https://prayagraj.nic.in/development-block/
841,Manda,120,894,Meja,exact,https://prayagraj.nic.in/development-block/
841,Manda,120,895,Koraon,derived_village,village_gram_panchayat_mapping.csv
842,Mauaima,120,888,Soraon,exact,https://prayagraj.nic.in/development-block/
843,Meja,120,894,Meja,exact,https://prayagraj.nic.in/development-block/
843,Meja,120,895,Koraon,derived_village,village_gram_panchayat_mapping.csv
844,Phulpur,120,889,Phulpur,exact,https://prayagraj.nic.in/development-block/
845,Pratappur,120,893,Handia,exact,https://prayagraj.nic.in/development-block/
846,Saidabad,120,893,Handia,exact,https://prayagraj.nic.in/development-block/
847,Shankargarh,120,891,Bara,exact,https://prayagraj.nic.in/development-block/
848,Soraon,120,888,Soraon,exact,https://prayagraj.nic.in/development-block/
849,Uruwan,120,894,Meja,verified_name_variant,https://prayagraj.nic.in/development-block/
