district_code,district_name,lgd_gp,prd_gp,exact_gp,block_matched,block_missing,prd_only
118,Agra,690,695,690,690,0,5
119,Aligarh,852,887,849,772,77,38
120,Prayagraj,1540,1637,1540,1540,0,97
121,Ambedkar Nagar,899,927,899,899,0,28
122,Auraiya,477,477,477,477,0,0
123,Azamgarh,1810,1871,1810,1810,0,61
124,Baghpat,244,245,244,244,0,1
125,Bahraich,1043,1054,1041,899,142,13
126,Ballia,940,948,940,940,0,8
127,Balrampur,793,801,793,793,0,8
128,Banda,469,470,469,469,0,1
129,Bara Banki,1155,0,0,0,0,0
130,Bareilly,1188,1193,1188,1188,0,5
131,Basti,1187,1235,1187,1187,0,48
132,Bijnor,1123,1128,1123,1123,0,5
133,Budaun,1037,1038,1037,1037,0,1
134,Bulandshahr,946,951,946,946,0,5
135,Chandauli,734,734,734,734,0,0
136,Chitrakoot,328,335,328,328,0,7
137,Deoria,1121,1189,1121,1121,0,68
138,Etah,569,576,569,569,0,7
139,Etawah,469,471,469,469,0,2
140,Ayodhya,772,835,772,712,60,63
141,Farrukhabad,580,600,580,580,0,20
142,Fatehpur,816,840,816,816,0,24
143,Firozabad,564,569,564,564,0,5
144,Gautam Buddha Nagar,82,86,80,80,0,6
145,Ghaziabad,142,161,142,142,0,19
146,Ghazipur,1238,1237,1237,1237,0,0
147,Gonda,1192,1054,1033,1033,0,21
148,Gorakhpur,1273,1352,1273,1273,0,79
149,Hamirpur,330,330,330,330,0,0
150,Hardoi,1293,1306,1293,1293,0,13
151,Jalaun,574,575,574,574,0,1
152,Jaunpur,1734,1749,1730,1730,0,19
153,Jhansi,496,496,496,496,0,0
154,Amroha,576,601,576,576,0,25
155,Kannauj,499,504,499,499,0,5
156,Kanpur Dehat,618,640,617,617,0,23
157,Kanpur Nagar,590,590,590,590,0,0
158,Kaushambi,451,476,450,450,0,26
159,Kheri,1164,1167,1164,1164,0,3
160,Kushinagar,980,0,0,0,0,0
161,Lalitpur,415,416,415,415,0,1
162,Lucknow,491,570,491,491,0,79
163,Hathras,462,474,462,462,0,12
164,Mahrajganj,882,0,0,0,0,0
165,Mahoba,273,273,273,273,0,0
166,Mainpuri,549,552,549,549,0,3
167,Mathura,495,516,495,495,0,21
168,Mau,645,675,645,645,0,30
169,Meerut,479,478,478,478,0,0
170,Mirzapur,809,809,809,809,0,0
171,Moradabad,643,584,581,581,0,3
172,Muzaffarnagar,487,498,487,487,0,11
173,Pilibhit,720,721,720,720,0,1
174,Pratapgarh,1148,1241,1148,1148,0,93
175,Rae Bareli,980,989,980,980,0,9
176,Rampur,680,684,680,680,0,4
177,Saharanpur,884,887,884,884,0,3
178,Sant Kabir Nagar,730,0,0,0,0,0
179,Bhadohi,546,0,0,0,0,0
180,Shahjahanpur,1068,1077,1068,1068,0,9
181,Shrawasti,397,0,0,0,0,0
182,Siddharthnagar,1136,0,0,0,0,0
183,Sitapur,1588,1601,1588,1588,0,13
184,Sonbhadra,621,637,621,590,31,16
185,Sultanpur,979,986,979,979,0,7
186,Unnao,1037,1043,1037,1037,0,6
187,Varanasi,694,760,694,694,0,66
633,Kasganj,423,423,423,423,0,0
640,Amethi,682,682,682,682,0,0
659,Sambhal,670,556,556,556,0,0
660,Shamli,230,230,230,230,0,0
661,Hapur,273,273,273,273,0,0
