district_code,district_name,gram_panchayat_code,gram_panchayat_name,prd_block_name,prd_block_code,lgd_block_code,lgd_block_name,resolution
118,AGRA,265508,Anganpur,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,265509,Basaia Rajput,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,265510,Bhandiri,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42727,ABHAUDOPURA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42728,AKABARA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42729,ARDAYA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42730,ARRUA KHAS,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42731,ARSENA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42732,ATUS,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42733,BABROD,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42734,BARAULI,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42735,BASTAI,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42736,BHILAWATI,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42737,BIARA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42738,BIDHAPUR,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42739,CHHAE POKHAR,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42740,DHANOLI,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42741,FATEHPURA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42742,GADI CANDARMAN,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42743,GARHIMA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42744,GOBRA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42745,GOPAU,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42746,HANSELA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42747,JANUTHA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42748,JHAROTI,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42749,KACHAURA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42750,KATHAWARI,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42751,KHARBAI,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42752,KHERA BAKANDA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42753,KHERA SADHAN,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42754,KITHAM,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42755,KUKATHALA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42756,LOH KARERA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42757,MAHUAR,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42758,MAI,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42759,MANGAROL GUJAR,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42760,MANGAROLI JAT,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42761,MANGURA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42762,MUBARIKPUR,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42763,MURANDA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42764,NAGAR,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42765,NAGLA ARUA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42766,PANWARI,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42767,PURAMANA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42768,RAIBHA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42769,RAIPURA AHIR,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42770,RUNKATA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42771,SAHAI,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42772,SAKATPUR,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42773,SANDHAN,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42774,SEHTA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,42775,SINGMA,ACHHNERA,1386,803,Achhnera,exact_name
118,AGRA,241771,BAGHA SONIGA,AKOLA,1387,804,Akola,exact_name
118,AGRA,241772,DHANAULI,AKOLA,1387,804,Akola,exact_name
118,AGRA,265469,Jitora,AKOLA,1387,804,Akola,exact_name
118,AGRA,265496,Sagunapur,AKOLA,1387,804,Akola,exact_name
118,AGRA,265498,Naraul,AKOLA,1387,804,Akola,exact_name
118,AGRA,265499,Khal,AKOLA,1387,804,Akola,exact_name
118,AGRA,42776,ABHAYPURA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42777,AKHBAI,AKOLA,1387,804,Akola,exact_name
118,AGRA,42778,AKOLA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42779,BAIN KHERA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42780,BALHERA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42781,BAMAN,AKOLA,1387,804,Akola,exact_name
118,AGRA,42782,BARODA SADAR,AKOLA,1387,804,Akola,exact_name
118,AGRA,42783,BASAI BOBLA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42784,BASAIA RAIMOL,AKOLA,1387,804,Akola,exact_name
118,AGRA,42785,BASARAI CHAHAR,AKOLA,1387,804,Akola,exact_name
118,AGRA,42786,BASIA JOTIRAJ,AKOLA,1387,804,Akola,exact_name
118,AGRA,42787,CHAINKORA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42788,DAVLI,AKOLA,1387,804,Akola,exact_name
118,AGRA,42789,GAHARA KALAN,AKOLA,1387,804,Akola,exact_name
118,AGRA,42790,GAHARA KHURD,AKOLA,1387,804,Akola,exact_name
118,AGRA,42791,GAMARI,AKOLA,1387,804,Akola,exact_name
118,AGRA,42792,IKRAM NAGAR,AKOLA,1387,804,Akola,exact_name
118,AGRA,42793,JAIN GARA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42794,JARUA KATRA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42795,KARAHARA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42796,KHERA BHAGOR,AKOLA,1387,804,Akola,exact_name
118,AGRA,42797,KHERIA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42798,LALAU,AKOLA,1387,804,Akola,exact_name
118,AGRA,42799,MALPURA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42800,MANIYAN,AKOLA,1387,804,Akola,exact_name
118,AGRA,42801,MANKENDA,AKOLA,1387,804,Akola,exact_name
118,AGRA,42802,NAGLA SIKARWAR,AKOLA,1387,804,Akola,exact_name
118,AGRA,42803,NAHCHANI,AKOLA,1387,804,Akola,exact_name
118,AGRA,42804,PINANI RAMNAGAR,AKOLA,1387,804,Akola,exact_name
118,AGRA,42805,SALEMABAD,AKOLA,1387,804,Akola,exact_name
118,AGRA,42806,SIROLI,AKOLA,1387,804,Akola,exact_name
118,AGRA,42807,UJARAI,AKOLA,1387,804,Akola,exact_name
118,AGRA,241778,BARAH,BAH,1388,805,Bah,exact_name
118,AGRA,265533,Siyainch,BAH,1388,805,Bah,exact_name
118,AGRA,265534,Pratap Pura,BAH,1388,805,Bah,exact_name
118,AGRA,265535,Mudiyapura,BAH,1388,805,Bah,exact_name
118,AGRA,265536,Padkoli,BAH,1388,805,Bah,exact_name
118,AGRA,266761,Bhartar,BAH,1388,805,Bah,exact_name
118,AGRA,42808,ABHAYPURA,BAH,1388,805,Bah,exact_name
118,AGRA,42809,BADOUS,BAH,1388,805,Bah,exact_name
118,AGRA,42810,BAMROLI,BAH,1388,805,Bah,exact_name
118,AGRA,42811,BASONI,BAH,1388,805,Bah,exact_name
118,AGRA,42812,BATESHWAR,BAH,1388,805,Bah,exact_name
118,AGRA,42813,BHADROLI,BAH,1388,805,Bah,exact_name
118,AGRA,42814,BICHOULA,BAH,1388,805,Bah,exact_name
118,AGRA,42815,BITHOLI,BAH,1388,805,Bah,exact_name
118,AGRA,42816,CHAMRAUA,BAH,1388,805,Bah,exact_name
118,AGRA,42817,CHANGOLI,BAH,1388,805,Bah,exact_name
118,AGRA,42818,CHOUSINGI,BAH,1388,805,Bah,exact_name
118,AGRA,42819,DERAK,BAH,1388,805,Bah,exact_name
118,AGRA,42820,DODAPURA,BAH,1388,805,Bah,exact_name
118,AGRA,42821,EMANPURA,BAH,1388,805,Bah,exact_name
118,AGRA,42822,GONSILI,BAH,1388,805,Bah,exact_name
118,AGRA,42823,GOPAL PURA,BAH,1388,805,Bah,exact_name
118,AGRA,42824,GUNGAWALI,BAH,1388,805,Bah,exact_name
118,AGRA,42825,HINGOT KHERA,BAH,1388,805,Bah,exact_name
118,AGRA,42826,ITAILI,BAH,1388,805,Bah,exact_name
118,AGRA,42827,JARAR,BAH,1388,805,Bah,exact_name
118,AGRA,42828,KALINJAR,BAH,1388,805,Bah,exact_name
118,AGRA,42829,KENJRA,BAH,1388,805,Bah,exact_name
118,AGRA,42830,KUNWAR KHEDA,BAH,1388,805,Bah,exact_name
118,AGRA,42831,KWAARI,BAH,1388,805,Bah,exact_name
118,AGRA,42832,LAKHANPUR KHALSA,BAH,1388,805,Bah,exact_name
118,AGRA,42833,MAI,BAH,1388,805,Bah,exact_name
118,AGRA,42834,MANGADPUR,BAH,1388,805,Bah,exact_name
118,AGRA,42835,NARHOLI,BAH,1388,805,Bah,exact_name
118,AGRA,42836,PARBATIPURA,BAH,1388,805,Bah,exact_name
118,AGRA,42837,PHARAIRA,BAH,1388,805,Bah,exact_name
118,AGRA,42838,PHARAIRI,BAH,1388,805,Bah,exact_name
118,AGRA,42839,RAIPURA BHADORIYA,BAH,1388,805,Bah,exact_name
118,AGRA,42840,RAJPURA,BAH,1388,805,Bah,exact_name
118,AGRA,42841,RAMPUR CHANDRASAINI,BAH,1388,805,Bah,exact_name
118,AGRA,42842,RUDMULI,BAH,1388,805,Bah,exact_name
118,AGRA,42843,SANNPURA,BAH,1388,805,Bah,exact_name
118,AGRA,42844,SIDHAOLI,BAH,1388,805,Bah,exact_name
118,AGRA,42845,SIMRAHI,BAH,1388,805,Bah,exact_name
118,AGRA,42846,SUNSAR,BAH,1388,805,Bah,exact_name
118,AGRA,42847,TARSON,BAH,1388,805,Bah,exact_name
118,AGRA,42848,VERI,BAH,1388,805,Bah,exact_name
118,AGRA,42849,VIJOLI,BAH,1388,805,Bah,exact_name
118,AGRA,42850,VIKARAMPUR,BAH,1388,805,Bah,exact_name
118,AGRA,42851,ZEBARA,BAH,1388,805,Bah,exact_name
118,AGRA,241719,NAINANA JAT,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,241720,ISLAMPUR,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,241773,GHAMOTA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,265464,Mayapur,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,268061,Bajhera,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,268075,Sarbatpura,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,274038,BHAHAI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42852,AKBARPUR,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42853,BAD,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42854,BAGDA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42855,BAHENTA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42856,BAMRAULI KATARA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42857,BARAULI AHIR,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42858,BARAULI GUJAR,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42860,BHANDAI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42861,BIJHAMAI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42862,BILAHANI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42863,BISARNA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42864,BISHARA KALAN,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42865,BISHARI BHAND,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42866,BUDHANA MUSTKIL,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42867,BUDHERA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42868,CHAMRAULI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42869,DEORI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42870,DIGNER,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42871,ETMADPUR MADRA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42872,GANGRAUA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42873,GUTLA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42874,HINGOT KHERIA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42875,IKTHAR,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42876,ITAURA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42877,KABOOLPUR,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42878,KAHRAI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42879,KAKRARI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42880,KAKUA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42881,KALAL KHERIA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42882,KALIKA NAGLA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42883,KARMANA MUSTKIL,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42884,KAULAKHA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42885,KUAN KHERA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42886,KUNDOL,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42887,KUTHAWATI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42888,LAKAVALI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42889,LODHAI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42890,MAHUA KHERA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42891,MEHRA NAHARGANJ,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42892,NADAUTA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42893,NAINANA-BRAHMAN,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42894,NAUBARI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42895,PACHGAIN KHERA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42896,PAWAWALI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42897,RAJRAI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42898,ROHTA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42899,SAIMARI,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42900,SALEMABAD,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42901,SAMOGAR MUSTKIL,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42902,SHYAMO,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42903,TANORA NURPUR MUSTKIL,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,42904,TORA,BARAULI AHIR,1389,806,Barauli Ahir,exact_name
118,AGRA,241770,BAIPUR MUSTKIL,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,265466,Jakhoda,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,265467,Sutendi,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,265468,Nanpur,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,274049,AZIZPUR,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42905,ANGOOTHI,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42906,ARTAUNI,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42907,BAMRAULI AHIR,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42908,BARARA,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42909,BICHPURI,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42910,CHAUHATNA,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42911,DEHTORA,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42912,DEORETHA,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42913,GARHSANI,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42914,JAUPURA,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42915,KALWARI,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42916,KHALLAUWA,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42917,KHASPUR MUSTKIL,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42918,LAKHANPUR,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42919,LARAMADA,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42920,MANGHATAI,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42921,MIDHAKUR,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42922,MOHAMMADPUR,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42923,PATHOLI,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42924,SADARBAN,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42925,SAHARA,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42926,SUCHETA,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42927,SUNARI,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42928,SWAMI MUSTKIL,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,42929,TAPARA,BICHPURI,1390,807,Bichpuri,exact_name
118,AGRA,240449,RASULPUR,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,241769,JAMALNAGAR BHAINS,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,264087,Biharipur,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,264118,Mohisinabad,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,264126,kharkana,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,267964,Nagla gola,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,267978,Nagala Mahasingh,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,272916,SATAUL,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,272971,Nagla sirj,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,42930,AGWAR  KHAS,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,42931,AHARAN,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,42932,AMANABAD,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,42933,ARELA,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,42934,BAHRAMPUR,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,42935,BARHAN,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,42936,BENAI  KALAN,ETMADPUR,1391,808,Etmadpur,exact_name
118,AGRA,42937,BHIKANPUR BAKARPUR,ETMADPUR,1391,808,Etmadpur,exact_name
