district_code,district_name,gram_panchayat_code,gram_panchayat_name,parent_kp_code
169,Meerut,79004,Aad,1973
129,Bara Banki,51981,Aadampur Bhatpura,1531
129,Bara Banki,51916,Aalapur,1530
129,Bara Banki,52227,Aalhan Mau,1534
129,Bara Banki,52566,Aalhemau,1539
171,Moradabad,297299,Aari Khera,1998
171,Moradabad,297178,Ababakpur,2002
129,Bara Banki,51980,Abdulla Pur,1531
171,Moradabad,297284,Abdullapur,2001
129,Bara Banki,51830,Achaicha,1529
164,Mahrajganj,266923,Achalgarh,1929
179,Bhadohi,86326,Achhawar,2093
129,Bara Banki,52272,Achhechha,1535
178,Sant Kabir Nagar,86040,Achhti,2088
171,Moradabad,297207,Adampur,2000
164,Mahrajganj,76784,Adbadhwa,1934
129,Bara Banki,242780,Adra,1527
181,Shrawasti,87714,Aelahwa,2115
129,Bara Banki,51692,Agaanpur,1527
129,Bara Banki,52273,Agaanpur,1535
129,Bara Banki,52150,Agasand,1533
182,Siddharthnagar,267594,Agaya,2130
147,Gonda,297480,Agaya Bujurg,1735
182,Siddharthnagar,88126,Agaya Khurd,2121
178,Sant Kabir Nagar,86173,Agiauna,2090
164,Mahrajganj,76487,Agya,1930
164,Mahrajganj,76925,Agya,1936
182,Siddharthnagar,88359,Ahari,2124
160,Kushinagar,74944,Ahernwa,1904
182,Siddharthnagar,87978,Ahiraula,2119
164,Mahrajganj,76621,Ahirauli,1932
160,Kushinagar,266683,Ahirauli,1891
160,Kushinagar,74726,Ahirauli Dan,1901
160,Kushinagar,271633,Ahirauli Hanuman Singh,1903
178,Sant Kabir Nagar,269396,Ahirauli II,2091
182,Siddharthnagar,274029,Ahirauli Padari,2120
160,Kushinagar,271632,Ahirauli Raja,1903
129,Bara Banki,51917,Ahirgaon,1530
181,Shrawasti,87839,Ahlad Nagar,2117
129,Bara Banki,51567,Ahmedpur,1525
179,Bhadohi,86631,Ainachh,2096
147,Gonda,297429,Ajabnagar,1750
129,Bara Banki,52228,Ajayi Mau,1534
179,Bhadohi,86439,Ajaypur,2094
129,Bara Banki,51754,Ajgana,1528
659,Sambhal,297223,Ajhara,2004
129,Bara Banki,51982,Ajpura,1531
129,Bara Banki,51983,Akan Pur,1531
129,Bara Banki,52565,Akaona,1539
182,Siddharthnagar,267600,Akara,2130
182,Siddharthnagar,87979,Akarahara,2119
181,Shrawasti,87574,Akbar Pur,2113
129,Bara Banki,51693,Akbarpur,1527
129,Bara Banki,52506,Akbarpur,1538
181,Shrawasti,87715,Akbarpur,2115
129,Bara Banki,52044,Akbarpur Dhanethi,1532
182,Siddharthnagar,273850,Akdengwa,2118
129,Bara Banki,52151,Akhaipur,1533
129,Bara Banki,52644,Akhaiya Pur,1540
147,Gonda,297401,Akhdaira,1739
659,Sambhal,297240,Akhtyarpur Taga,2005
182,Siddharthnagar,88503,Akolhiya,2126
179,Bhadohi,86632,Akorha,2096
129,Bara Banki,268493,Aladadpur,1540
129,Bara Banki,51984,Alampur Gyaspur,1531
164,Mahrajganj,76926,Aldahiya Mahdeva,1936
129,Bara Banki,52507,Alinagar,1538
181,Shrawasti,268303,Alinagar,2113
147,Gonda,297475,Alinagar,1735
181,Shrawasti,273838,Alinagar Dharam Nagar,2115
171,Moradabad,297315,Alipur Jeondera,1998
129,Bara Banki,51694,Aliyabad,1527
129,Bara Banki,266872,Allahapur Bharali,1529
129,Bara Banki,52274,Allapur Ranimau,1535
179,Bhadohi,266198,Almau,2093
179,Bhadohi,86328,Alua,2093
129,Bara Banki,268541,Aluwa Mau,1537
164,Mahrajganj,76622,Amahwa,1932
182,Siddharthnagar,270419,Amanankar,2126
178,Sant Kabir Nagar,85759,Amar Dobha,2084
129,Bara Banki,52508,Amara Devi,1538
181,Shrawasti,87575,Amare Bhariya,2113
178,Sant Kabir Nagar,86174,Amarha,2090
181,Shrawasti,266783,Amarhwa,2117
182,Siddharthnagar,88360,Amariya,2124
659,Sambhal,297391,Amarpur,1592
129,Bara Banki,52224,Amarsanda,1533
160,Kushinagar,74867,Amarwa Buzurg,1903
182,Siddharthnagar,88038,Amauli Ikdanga,2120
164,Mahrajganj,76851,Amava,1935
178,Sant Kabir Nagar,85680,Amawa,2083
129,Bara Banki,266914,Amawa,1533
179,Bhadohi,86440,Amawa Khurd,2094
129,Bara Banki,52045,Ambaur,1532
129,Bara Banki,52046,Amdaha,1532
182,Siddharthnagar,88595,Amhat,2127
129,Bara Banki,242781,Amhiya,1525
129,Bara Banki,52275,Amlora,1535
178,Sant Kabir Nagar,271153,Ammadei,2088
147,Gonda,297406,Amodawa,1739
129,Bara Banki,52277,Amoli Kalan,1535
129,Bara Banki,52276,Amoli Kiratpur,1535
164,Mahrajganj,76703,Amra Urf Jhulnipur,1933
129,Bara Banki,52568,Amrai Gaon,1539
164,Mahrajganj,269255,Amroha,1928
164,Mahrajganj,269078,Amsahan,1928
129,Bara Banki,52431,Amserwa,1537
179,Bhadohi,86329,Amva Mafi,2093
181,Shrawasti,87717,Amwa,2115
160,Kushinagar,74060,Amwa Khas,1891
160,Kushinagar,74870,Amwa Mehant,1903
160,Kushinagar,74119,Amwa Sri Dubey,1892
160,Kushinagar,74061,Amwadiger,1891
178,Sant Kabir Nagar,268907,Anaie,2086
179,Bhadohi,86441,Anangpur,2094
160,Kushinagar,74798,Anantpur,1902
129,Bara Banki,268550,Andau Mau,1530
181,Shrawasti,87576,Andhar Purwa,2113
160,Kushinagar,74569,Andhari Bari,1899
