district_name,block_name,block_code,gram_panchayat_name,gram_panchayat_code
AGRA,BARAULI AHIR,1389,CHAMRAULI,42868
AGRA,BARAULI AHIR,1389,KAHRAI,42878
AGRA,BARAULI AHIR,1389,KALAL KHERIA,42881
AGRA,BARAULI AHIR,1389,TORA,42904
AGRA,BICHPURI,1390,DEHTORA,42911
ALIGARH,CHANDAUS,1404,CHANDAUS,43560
ALIGARH,CHANDAUS,1404,GABHANA,43569
ALIGARH,CHANDAUS,1404,MOHRAINA,43591
ALIGARH,CHANDAUS,1404,PANIHAVAR,43600
ALIGARH,CHANDAUS,1404,PISAVA,43601
ALIGARH,CHANDAUS,1404,RAMPUR,43602
ALIGARH,CHANDAUS,1404,ROOP NAGAR,43605
ALIGARH,CHANDAUS,1404,SOMNA,43609
ALIGARH,DHANIPUR,1405,ALINAGAR,43621
ALIGARH,DHANIPUR,1405,NAGLA PANKHANI,43669
ALIGARH,DHANIPUR,1405,PALI RAZAPUR,43673
ALIGARH,DHANIPUR,1405,SIDHAULI,43682
ALIGARH,JAWAN,1409,BAROULA,242978
ALIGARH,JAWAN,1409,TATARGARHI,242980
ALIGARH,JAWAN,1409,DAHELI,266355
ALIGARH,JAWAN,1409,BARAULI,43891
ALIGARH,JAWAN,1409,JAWAN SIKANDPUR,43913
ALIGARH,JAWAN,1409,JAWAN VAJIDPUR,43914
ALIGARH,JAWAN,1409,LEHTOI,43923
ALIGARH,JAWAN,1409,RAMPUR,43940
ALIGARH,LODHA,1411,KOTHIYA,266200
ALIGARH,LODHA,1411,HAJIPUR CHAUHATTA,266203
ALIGARH,LODHA,1411,KHERIYA KHWAZA BUDDHA,266425
ALIGARH,LODHA,1411,AJITPURASNA,44032
ALIGARH,LODHA,1411,BARHAULI FATEH KHAN,44041
ALIGARH,LODHA,1411,BHADESI MAFI,44044
ALIGARH,LODHA,1411,BHAKRAULA,44046
ALIGARH,LODHA,1411,DAULRA NIRPAL,44056
ALIGARH,LODHA,1411,DEOSAINI,44057
ALIGARH,LODHA,1411,MADRAK,44087
ALIGARH,LODHA,1411,MAINATH,44090
ALIGARH,LODHA,1411,MUKUNDPUR,44093
ALIGARH,LODHA,1411,NAUHATI,44097
ALIGARH,LODHA,1411,PARIYAVALI,44100
ALIGARH,LODHA,1411,RUSTAMPUR SAKATKHAN,44106
ALIGARH,LODHA,1411,SHAHPUR MADRAK,44113
ALIGARH,LODHA,1411,SUKHRAVALI,44116
ALIGARH,LODHA,1411,TALASPUR KALAN,44118
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,SINGHPUR,271419
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,GANPATPUR,271602
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,BACHHUAPAR,271641
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,JANESARI BUJURG,271647
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,VISHNATHPUR,271650
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,NARWARPATTI,272130
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,BALRAMPUR,45974
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,DHARUPUR,45992
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,FATTEPUR KHAS,45995
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,JAHANGIRGANJ,46005
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,KAKRAPAR,46009
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,MAMPUR,46024
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,NARIYAWAN,46028
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,RAJEPUR,46034
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,SIRSIYA TIHAYATPUR,46046
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,TARAUNA BASGAON,46048
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,HEMRAJPUR,46053
AMBEDKAR NAGAR,JAHANGIR GANJ,1437,VIJLEE  PANDAULI,46054
AMBEDKAR NAGAR,JALAL PUR,1438,FARIDPUR,269525
AMBEDKAR NAGAR,JALAL PUR,1438,ASHIPUR,46059
AMBEDKAR NAGAR,JALAL PUR,1438,JALALPUR DEHAT,46098
AMBEDKAR NAGAR,JALAL PUR,1438,JAMAULI,46099
AMBEDKAR NAGAR,JALAL PUR,1438,VAJEEDPUR,46152
AMBEDKAR NAGAR,RAM NAGAR,1440,CHANDANPUR,270247
AMBEDKAR NAGAR,RAM NAGAR,1440,NEWARI DURAJPUR,46297
AMBEDKAR NAGAR,TANDA,1441,MEERANPUR BABHANPURA,271379
AMBEDKAR NAGAR,TANDA,1441,JIGNA,46369
AMBEDKAR NAGAR,TANDA,1441,KATARIYA,46375
AMROHA,AMROHA,1834,Aaivzabad,238570
AMROHA,AMROHA,1834,Ahroi,238572
AMROHA,AMROHA,1834,Akbarpur Patti,238573
AMROHA,AMROHA,1834,Daud Sarai,238591
AMROHA,AMROHA,1834,Jalalpur Narayan,238610
AMROHA,AMROHA,1834,Nazarpur Khurd,238632
AMROHA,AMROHA,1834,Panju Sarai,238633
AMROHA,AMROHA,1834,Raipur Kalan,238639
AMROHA,AMROHA,1834,Rajjakpur,238640
AMROHA,HASANPUR,1838,Sabdalpur Sharki,238902
AMROHA,HASANPUR,1838,Said Nagli,238903
AMROHA,HASANPUR,1838,Mehdipur,265204
AMROHA,HASANPUR,1838,Ikonda,265778
AMROHA,JOYA,1839,Amroha Dehat,238919
AMROHA,JOYA,1839,Durgpur,238943
AMROHA,JOYA,1839,Guleriya,238950
AMROHA,JOYA,1839,Meera Sarai,238984
AMROHA,JOYA,1839,Pachokara Meharban Ali,238993
AMROHA,JOYA,1839,Pandki,238996
AMROHA,JOYA,1839,Raipur Khurd,239003
AMROHA,JOYA,1839,Rampur Ghana,239006
AMROHA,JOYA,1839,Umarpur,239027
AMROHA,JOYA,1839,KHALAKPUR KHURD,264075
AMROHA,JOYA,1839,HUSSAINPUR NEAR MAALIKHERA,264751
AMROHA,JOYA,1839,Masoodpur Nawada,265737
AYODHYA,AMANIGANJ,1668,AKMA,60839
AYODHYA,AMANIGANJ,1668,BAVAN,60846
AYODHYA,AMANIGANJ,1668,PITHLA,60891
AYODHYA,MASODHA,1671,abbusaray,267669
AYODHYA,MASODHA,1671,VINAYAKPUR,267727
AYODHYA,MASODHA,1671,PUREHUSAIN KHAN,267784
AYODHYA,MASODHA,1671,SAMSUDDINPUR,267791
AYODHYA,MASODHA,1671,BANVEERPUR,61026
AYODHYA,MASODHA,1671,BHADARSA  BAHAR,61028
AYODHYA,MASODHA,1671,CHANDPUR HARVANSH,61032
AYODHYA,MASODHA,1671,DABHA SAMER,61035
AYODHYA,MASODHA,1671,DOST PUR,61036
AYODHYA,MASODHA,1671,GADDOO PUR,61040
AYODHYA,MASODHA,1671,GANJA,61041
AYODHYA,MASODHA,1671,HANSA PUR,61045
AYODHYA,MASODHA,1671,JANAURA,61049
AYODHYA,MASODHA,1671,KAIL,61051
AYODHYA,MASODHA,1671,KALLYAN PUR BHADRASSA,61052
AYODHYA,MASODHA,1671,KHOJANPUR,61055
AYODHYA,MASODHA,1671,MALIKPUR,61061
AYODHYA,MASODHA,1671,MAU YADUVANSPUR,61063
AYODHYA,MASODHA,1671,MIRZAPUR MAFI,61064
AYODHYA,MASODHA,1671,MIRZAPUR NIMAULI,61065
AYODHYA,MASODHA,1671,NAIPURA,61068
AYODHYA,MASODHA,1671,NANDI GRAM,61069
AYODHYA,MASODHA,1671,PAHARGANJ,61070
AYODHYA,MASODHA,1671,PALYA SHAHVADI,61073
AYODHYA,MASODHA,1671,PIPRI,61075
AYODHYA,MASODHA,1671,RAJAPUR MAFI,61079
AYODHYA,MASODHA,1671,USRU,61090
AYODHYA,Mawai,1672,BIHARA,52103
AYODHYA,Mawai,1672,SEDPUR,52140
AYODHYA,Mawai,1672,SEMSI,52141
AYODHYA,Mawai,1672,SUNWA,52146
AYODHYA,MILKIPUR,1674,SHIVNATH PUR,61221
AYODHYA,PURA BAZAR,1675,HAIBATPUR,269337
AYODHYA,PURA BAZAR,1675,ASIFBAG,269352
AYODHYA,PURA BAZAR,1675,ASHAPUR,61236
AYODHYA,PURA BAZAR,1675,MAJHA BARETHA,61238
AYODHYA,PURA BAZAR,1675,BHIKHAPUR,61241
AYODHYA,PURA BAZAR,1675,DEVKALI,61245
AYODHYA,PURA BAZAR,1675,KUDHAKESHAVPUR,61257
AYODHYA,PURA BAZAR,1675,KUSMAHA,61258
AYODHYA,PURA BAZAR,1675,MAKHAKHAPUR,61261
AYODHYA,PURA BAZAR,1675,RANOPAALI,61275
AYODHYA,PURA BAZAR,1675,SAHINAWA,61279
AYODHYA,PURA BAZAR,1675,SHAHJAHANPUR,61286
AYODHYA,PURA BAZAR,1675,SHAHNEVAJPUR,61287
AYODHYA,PURA BAZAR,1675,TAKPURA,61292
AYODHYA,RUDAULI,1536,GOGAVA,52369
AYODHYA,RUDAULI,1536,JALALPUR,52377
AYODHYA,RUDAULI,1536,KARIMPUR,52383
AYODHYA,RUDAULI,1536,KHAIRANPUR,52384
AYODHYA,RUDAULI,1536,MOHMIDPUR,52403
AYODHYA,RUDAULI,1536,SARAI HAMID,52417
AYODHYA,RUDAULI,1536,SARAIPEER,52421
AYODHYA,RUDAULI,1536,TIKAR,52429
AYODHYA,SOHAWAL,1676,SOHAWAL,269574
AYODHYA,SOHAWAL,1676,UCHITPUR,269619
AYODHYA,SOHAWAL,1676,KATRAULI,61317
AYODHYA,SOHAWAL,1676,KHIRAUNI,61318
AYODHYA,SOHAWAL,1676,SALHEPUR NIMAICHA,61337
AYODHYA,SOHAWAL,1676,SARA BISHUNPUR,61339
AZAMGARH,AZMATGARH,1451,JAMIN MEGHAI,47035
AZAMGARH,AZMATGARH,1451,MASONA,47056
AZAMGARH,BILARIYAGANJ,1452,PATI BUJURG,271974
AZAMGARH,BILARIYAGANJ,1452,BASHIRPUR,271975
AZAMGARH,BILARIYAGANJ,1452,JAMIN PADARI,271980
AZAMGARH,BILARIYAGANJ,1452,SAHABUDDINPUR,271981
AZAMGARH,BILARIYAGANJ,1452,AKABARPUR,47085
AZAMGARH,BILARIYAGANJ,1452,ALAUDDIN PATTI,47087
AZAMGARH,BILARIYAGANJ,1452,ANDA KHOR,47089
AZAMGARH,BILARIYAGANJ,1452,BAGWAR,47092
AZAMGARH,BILARIYAGANJ,1452,BARIHARI,47095
AZAMGARH,BILARIYAGANJ,1452,BHAGATPUR,47101
AZAMGARH,BILARIYAGANJ,1452,BILARIYA GANJ  DEHAT,47107
AZAMGARH,BILARIYAGANJ,1452,CHHICHHORI,47110
AZAMGARH,BILARIYAGANJ,1452,CHHIHI,47111
AZAMGARH,BILARIYAGANJ,1452,DEORIA JAPTIMAFI,47112
AZAMGARH,BILARIYAGANJ,1452,DORJI DHAVRAHARA,47116
AZAMGARH,BILARIYAGANJ,1452,GADDOPUR,47121
AZAMGARH,BILARIYAGANJ,1452,GULWA GAURI,47125
AZAMGARH,BILARIYAGANJ,1452,HARIPUR,47127
AZAMGARH,BILARIYAGANJ,1452,HENGAIPUR,47128
AZAMGARH,BILARIYAGANJ,1452,ISMAILPUR GORIA,47130
AZAMGARH,BILARIYAGANJ,1452,JAGMALPUR,47131
AZAMGARH,BILARIYAGANJ,1452,JALALPUR,47132
AZAMGARH,BILARIYAGANJ,1452,KAKRAHI DULAR,47140
AZAMGARH,BILARIYAGANJ,1452,KHALISH PUR,47143
AZAMGARH,BILARIYAGANJ,1452,MADHNAPAR,47148
AZAMGARH,BILARIYAGANJ,1452,MOHAMMADPUR,47155
AZAMGARH,BILARIYAGANJ,1452,MOHIUDDINPUR II,47157
AZAMGARH,BILARIYAGANJ,1452,NASIRPUR,47158
AZAMGARH,BILARIYAGANJ,1452,PADARI PARAN PUR,47162
AZAMGARH,BILARIYAGANJ,1452,PIPRAHA DULIYAWAR,47169
AZAMGARH,BILARIYAGANJ,1452,SEKHUPUR,47173
AZAMGARH,BILARIYAGANJ,1452,SHANTI BASHEERPUR,47174
AZAMGARH,BILARIYAGANJ,1452,TENDUWA,47177
AZAMGARH,BILARIYAGANJ,1452,TURK PADARI,47180
AZAMGARH,JAHANAGANJ,1454,CHAK SAH DARIYA,270615
AZAMGARH,JAHANAGANJ,1454,BARAHATIR JAGDISHPUR,47265
AZAMGARH,JAHANAGANJ,1454,MUSTAFABAD,47298
AZAMGARH,JAHANAGANJ,1454,RAMPUR,47307
AZAMGARH,KOILSA,1455,BHILAMPUR CHHAPARA,47334
AZAMGARH,KOILSA,1455,BURHANPUR,47337
AZAMGARH,KOILSA,1455,ISHWARPUR PAWNI,47351
AZAMGARH,KOILSA,1455,KOILSA,47360
AZAMGARH,KOILSA,1455,RAIPUR KHURASIN,47376
AZAMGARH,KOILSA,1455,RANIPUR,47379
AZAMGARH,KOILSA,1455,SHERWA,47384
AZAMGARH,KOILSA,1455,USHUR KURHWA,47390
AZAMGARH,LALGANJ,1456,TIKAR GADH,272103
AZAMGARH,LALGANJ,1456,CHAKIA BHAGWANPUR,47412
AZAMGARH,LALGANJ,1456,MASERPUR,47444
AZAMGARH,LALGANJ,1456,RETWA CHANDRA BHANPUR,47460
AZAMGARH,MAHRAJGANJ,1457,ACHAIWAT,267739
AZAMGARH,MAHRAJGANJ,1457,PARTAPPUR,47538
AZAMGARH,MARTINGANJ,1458,Dariyapur,265405
AZAMGARH,MARTINGANJ,1458,BANGAON,47555
AZAMGARH,MARTINGANJ,1458,BELWANA,47560
