mohalla_name,ward_number,ward_name,match_type,status
जंगल बेनीमाधो नं02,,,,UNVERIFIED
पोखर भिन्डा उर्फ करीमनगर,,,,UNVERIFIED
हमीदपुर,,,,UNVERIFIED
भरवलिया बुजुर्ग,37,भरवलिया,CONTAINS,VERIFIED_NAME_MATCH
हरसेवकपुर नं0-1,31,हरसेवकपुर,CONTAINS,VERIFIED_NAME_MATCH
लच्छीपुर,20,लच्छीपुर,EXACT,VERIFIED_NAME_MATCH
महेवा मुस्तकील,,,,UNVERIFIED
जंगल सालिकराम,,,,UNVERIFIED
रामपुर उर्फ रामगढ़,,,,UNVERIFIED
जटेपुर उत्तरी,27,जटेपुर,CONTAINS,VERIFIED_NAME_MATCH
नौतन तप्पा खुटहन,,,,UNVERIFIED
जं0 महुअवा उर्फ मुहम्मदपुर,,,,UNVERIFIED
फत्तेपुर,,,,UNVERIFIED
सेमरा,,,,UNVERIFIED
मिर्जापुर बिलन्दपुर जमीनदारी क्षेत्र (समीप महुईसुधरपुर),,,,UNVERIFIED
ताल रामगढ़,,,,UNVERIFIED
जंगल मातादीन,,,,UNVERIFIED
चरगांवा,8,चरगांवा,EXACT,VERIFIED_NAME_MATCH
मिर्जापुर बिलन्दपुर (समीप महुईसुधरपुर),,,,UNVERIFIED
शिवपुर सहबाजगंज,17,शिवपुर,CONTAINS,VERIFIED_NAME_MATCH
बशारतपुर,,,,UNVERIFIED
गोपलापुर,19,गोपलापुर,EXACT,VERIFIED_NAME_MATCH
महादेव झारखण्डी टु0न0-3,,,,UNVERIFIED
मानवेला,,,,UNVERIFIED
जंगल हकीम नं0-1,,,,UNVERIFIED
चैनपुर,,,,UNVERIFIED
महादेव झारखण्डी टु0न0-2,,,,UNVERIFIED
झुगिया,,,,UNVERIFIED
भरवलिया खुर्द,37,भरवलिया,CONTAINS,VERIFIED_NAME_MATCH
रामपुर नया गाव,,,,UNVERIFIED
महेवा एहतमाली,,,,UNVERIFIED
मोहीउददीन चक(मुहम्मदचक),,,,UNVERIFIED
चकसा हुसेन,,,,UNVERIFIED
रूस्तमपुर,,,,UNVERIFIED
पट्टन,,,,UNVERIFIED
मिर्जापुर पचपेडवा,,,,UNVERIFIED
जंगल बेनीमाधो नं0-1,,,,UNVERIFIED
नथमलपुर,,,,UNVERIFIED
बरगदवा,,,,UNVERIFIED
महादेव झारखण्डी टु0न0-1,,,,UNVERIFIED
हुमायूपुर उत्तरी नया क्षेत्र,,,,UNVERIFIED
चिलमापुर,,,,UNVERIFIED
