ward_number,page,raw_block,status
1,01,"नो०- 1,,आवा ववका कॉरोनी,,एभ ्. जे.           1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 झायखण्डी -01 टस कडा नो०-1, भहादे वऩसयभ,एभ ् जे टी नो०-1 (घोयाच नगय),एभ ् जे टी नो०-1 चयक्मऩसयी कॉरोनी,एभ ्. जे. टस कडा नो०-1 वीय फहादयस ऩसय,भहादे व झायखॊडी टस कडा नो०- 1) ेभया/फाफा           ेभया, रेभऩसय,चैनऩसय(भेडडकर",EXTRACTED
2,01," याघवदा नगय           कारेज),(भोगराहा पॉय रेभऩसय) 1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10",EXTRACTED
3,01,"रानीर्ीहा           खोराबार उर्ड सूबाबाजार ,रानीर्ीहा        नया       नया           नया    नया       नया     नया    नया    नया    नया    नया    नया    नया इन्जीशनमरयॊ ग कारेज भहादे व झायखण्डी टस कडा नम्फय दो आॊशिक,झायखण्डी टस कडा इन्जीशनमरयॊ ग        नम्फय एक आॊशिक,श ॊघाडडमा",EXTRACTED
4,01,"कारेज/ MMM आॊशिक,याभऩसय उपफ याभगढ़ आॊशिक(भहादे व                1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 Nagar     झायखॊडी टस कडा नो०-2,एभ ्. जे. टस कडा नो०-1, डदव्मा नगय,एभ ् जे टी नो०-1 (भारवीम नगय,भहादे व झायखॊडी टस कडा नो०-1)",EXTRACTED
5,02,"टोरा,भानफेरा खान भयामा              1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 GAMBHIRNATH (KU.+KA.),भानफेरा ऩटय कसइमाॉ,भानफेरा NAGAR खा ,भानफेरा,भानफेरा बाय ,झसशगमाटोशरमा)",EXTRACTED
6,02,"खोयाफाय        जॊगर श कयी उपफ खोयाफाय,श क्टौय           नया       नया           नया    नया       नया     नया    नया    नया    नया    नया    नया    नया भहादे व झायखण्डी टस कडा नम्फय दो भहादे व आॊशिक,दयगडहमा ,खोट्ठा टोरा,झायखण्डी",EXTRACTED
7,02,"झायखण्डी                                               1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 टस कडा नम्फय तीन आॊशिक,गसभटी टस कडा नम्फय दो टोरा(दयगडहमा,कूडाघाट) हभीदऩसय,हभीदऩसय तेनसई टोरा,जॊगर भहसआ,हय ेवकऩसय,कयीभ नगय ऩोखय शबॊडा,चयगावाॊ ,चयगावाॊ (ये र ववहाय आई इ टी पेज),याप्ती नगय पेज-IV",EXTRACTED
8,02,"चयगावाॊ                                                 1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 उत्तयी,चयगावाॊ (आय. एन.-IV) स्ऩोटफ कॉरेज,चयगावाॊ (आय. एन.-IV) जे. आई. कॉरेज,चयगावाॊ , ये र ववहाय ववस्ताय पेज- II,याप्ती नगय पेज-IV दषिणी जॊगर नकहा नम्फय एक, फिायतऩसय आॊशिक",EXTRACTED
9,02,"नकहा                                                   1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 (नाका नो-1,फिायतऩसय ऩषिभी)",EXTRACTED
10,03, भाधव                   भाधव नम्फय दो 1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10,EXTRACTED
11,03,"फडगो                    वागयानी,फडगो                    नया       नया           नया    नया       नया     नया    नया    नया    नया    नया    नया    नया फिायतऩसय /           फिायतऩसय आॊशिक,याप्तीनगय",EXTRACTED
12,03," Ashkok Nagar           आॊशिक,(फिायतऩसय ऩषिभी) 1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 ॊझाई,नूरुद्धीनचक,जॊगर फहादयस अरी,जॊगर",EXTRACTED
13,03,"ॊझाई                                                   नया       नया           नया    नया       नया     नया    नया    नया    नया    नया    नया    नया फेनी भाधव नॊ0 01,02 आॊशिक याजेन्र नगय / फयगदवा,याभऩसय नमागाॊव याजेन्र नगय",EXTRACTED
