ward_number,page,ocr_text,status
1,,,MISSING
2,,,MISSING
3,,,MISSING
4,,,MISSING
5,,,MISSING
6,,,MISSING
7,,,MISSING
8,,,MISSING
9,,,MISSING
10,,,MISSING
11,,,MISSING
12,,,MISSING
13,,,MISSING
14,,,MISSING
15,,,MISSING
16,,,MISSING
17,,,MISSING
18,,,MISSING
19,,,MISSING
20,,,MISSING
21,,,MISSING
22,,,MISSING
23,,,MISSING
24,,,MISSING
25,,,MISSING
26,,,MISSING
27,,,MISSING
28,,,MISSING
29,,,MISSING
30,,,MISSING
31,,,MISSING
32,,,MISSING
33,,,MISSING
34,,,MISSING
35,,,MISSING
36,,,MISSING
37,,,MISSING
38,,,MISSING
39,,,MISSING
40,,,MISSING
41,,,MISSING
42,,,MISSING
43,,,MISSING
44,,,MISSING
45,,,MISSING
46,,,MISSING
47,,,MISSING
48,,,MISSING
49,,,MISSING
50,,,MISSING
51,,,MISSING
52,,,MISSING
53,,,MISSING
54,,,MISSING
55,,,MISSING
56,,,MISSING
57,,,MISSING
58,,,MISSING
59,,,MISSING
60,,,MISSING
61,,,MISSING
62,,,MISSING
63,,,MISSING
64,,,MISSING
65,,,MISSING
66,,,MISSING
67,11,"67 67 | Sardar bhagat Alealyt 1.25 1.00 | 0.75 0.80 0.10 | 0.10 | 0.10 singh nagar Manda / TAaRIGT sien, TSA Se MUTT MAHARSHI : fev | aoe 1.25 1.00 0.75 0.80 0.10 | 0.10 | 0.10 DADHICHI aie 2) RETA nel ; ; ; ; ; ; ; NAGAR ) RETA ( HAA A- Sel) AGT / Shri ‘ ; SETATT si aaa",OCR_FOUND
68,,,MISSING
69,,,MISSING
70,11,70 70 | /Chandsekhar AT ( dem Fees an 1)) a 1.05 0.75 0.70 0.10 | 0.10 | 0.10 azad chauk 3 : Hote / | Helter SAN seit afaroh eaTyGR,OCR_FOUND
71,,,MISSING
72,,,MISSING
73,,,MISSING
74,,,MISSING
75,,,MISSING
76,,,MISSING
77,,,MISSING
78,,,MISSING
79,,,MISSING
80,,,MISSING
